,auc,precision,recall,accuracy,balanced_accuracy,f1_weighted,f1_macro,f1_micro,dataset
0,0.6022727272727273,0.6910714285714286,0.6,0.6,0.6079545454545454,0.6229665071770335,0.5693779904306221,0.6,test
1,0.6647727272727273,0.6933333333333334,0.6666666666666666,0.6666666666666666,0.6136363636363636,0.6772486772486773,0.6031746031746033,0.6666666666666666,test
2,0.7727272727272727,0.738755980861244,0.7,0.7,0.6761363636363636,0.7127086007702182,0.6534017971758665,0.7,test
3,0.7272727272727273,0.6881987577639752,0.7,0.7,0.5965909090909092,0.6933333333333334,0.6,0.7,test
4,0.5113636363636365,0.6755555555555557,0.5666666666666667,0.5666666666666667,0.5852272727272727,0.5916177046611828,0.5417156286721504,0.5666666666666667,test
5,0.5738636363636365,0.5962962962962963,0.5333333333333333,0.5333333333333333,0.48295454545454547,0.5566666666666666,0.475,0.5333333333333333,test
6,0.7159090909090909,0.7581780538302278,0.7666666666666667,0.7666666666666667,0.6818181818181819,0.7614814814814815,0.6888888888888889,0.7666666666666667,test
7,0.5170454545454546,0.6428355957767721,0.5666666666666667,0.5666666666666667,0.5454545454545454,0.5904761904761905,0.5238095238095238,0.5666666666666667,test
8,0.7784090909090909,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.6590909090909092,0.7333333333333333,0.6590909090909092,0.7333333333333333,test
9,0.7329545454545454,0.7559523809523809,0.6666666666666666,0.6666666666666666,0.6931818181818181,0.6858054226475279,0.6411483253588517,0.6666666666666666,test
10,0.6931818181818181,0.7064856711915535,0.6333333333333333,0.6333333333333333,0.6306818181818181,0.6534798534798535,0.5970695970695971,0.6333333333333333,test
11,0.6022727272727273,0.6130781499202551,0.5666666666666667,0.5666666666666667,0.5056818181818181,0.5850235344458707,0.49935815147625157,0.5666666666666667,test
12,0.8352272727272727,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.6590909090909092,0.7333333333333333,0.6590909090909092,0.7333333333333333,test
