,verb_conditionel,second_personal_pronoun,model_DEATH,score_paticules_matches,third_personal_pronoun,first_personal_pronoun_sing,ON_someone,average_clustering,L3,difluencies_score,feel_positive,diameter_g0,first_personal_pronoun_plur,LCC,NOM_PERCEPTIONS_SENSORIELLES,passive_count_norm,degree_average,transitivity,L1,L2
72,-0.033333333333333326,0.0,-0.033333333333333326,0.0,0.0,-0.033333333333333326,-0.09999999999999998,-0.033333333333333326,0.0,-0.033333333333333326,0.0,0.0,-0.033333333333333326,0.0,0.0,0.0,-0.033333333333333326,0.0,0.0,0.0
73,0.033333333333333326,-0.033333333333333326,0.033333333333333326,0.033333333333333326,-0.09999999999999998,0.0,0.06666666666666665,0.0,-0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,-0.033333333333333326,-0.033333333333333326,-0.033333333333333326,0.0,-0.033333333333333326
74,0.09999999999999998,-0.033333333333333326,0.0,-0.033333333333333326,0.0,0.0,-0.033333333333333326,0.0,0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033333333333333326,0.0,-0.06666666666666676,0.033333333333333326
75,0.033333333333333326,0.0,-0.03333333333333344,0.0,0.033333333333333326,0.0,-0.03333333333333344,0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033333333333333326,0.0
76,0.0,0.0,0.0,-0.033333333333333326,0.0,-0.06666666666666665,-0.033333333333333326,0.0,0.033333333333333326,0.0,-0.033333333333333326,0.0,-0.033333333333333326,0.0,0.0,0.0,-0.033333333333333326,0.0,0.0,0.0
77,0.033333333333333326,0.0,0.06666666666666665,-0.033333333333333326,-0.09999999999999998,-0.1333333333333333,-0.09999999999999998,0.0,0.0,0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.033333333333333326,0.0,0.0
78,0.033333333333333326,0.06666666666666665,0.0,0.06666666666666665,0.033333333333333326,0.0,0.06666666666666665,0.033333333333333326,0.033333333333333326,0.0,-0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033333333333333326
79,0.033333333333333326,0.033333333333333326,0.09999999999999998,0.16666666666666663,0.033333333333333326,0.033333333333333326,0.06666666666666665,0.0,0.0,0.033333333333333326,0.09999999999999998,0.0,0.0,0.0,0.0,0.0,0.06666666666666665,0.0,0.0,0.033333333333333326
80,0.033333333333333326,-0.06666666666666665,0.10000000000000009,0.0,0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.033333333333333326,0.0,-0.033333333333333326,0.0
81,-0.06666666666666665,0.0,-0.033333333333333326,-0.033333333333333326,0.0,0.16666666666666669,-0.033333333333333326,-0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,0.09999999999999998,0.0,0.09999999999999998,0.06666666666666665,0.0,0.033333333333333326,0.09999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666665,0.0,0.0,0.033333333333333326
83,-0.033333333333333326,0.033333333333333326,0.033333333333333326,0.0,-0.033333333333333326,0.033333333333333326,0.0,0.033333333333333326,0.0,0.0,0.0,0.0,-0.033333333333333326,0.0,0.0,0.0,0.033333333333333326,0.0,0.0,0.0
84,0.06666666666666665,0.0,0.0,0.033333333333333326,0.033333333333333326,0.033333333333333326,0.0,0.033333333333333326,0.033333333333333326,0.0,0.0,0.0,0.033333333333333326,0.0,0.0,0.0,-0.033333333333333326,-0.033333333333333326,0.0,-0.033333333333333326
85,0.09999999999999998,0.06666666666666665,0.06666666666666665,0.0,0.0,-0.033333333333333326,0.033333333333333326,0.0,0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.033333333333333326,0.0,0.0,0.0,0.0
86,0.06666666666666665,0.0,-0.033333333333333326,0.0,0.0,0.0,-0.06666666666666676,0.033333333333333326,0.033333333333333326,0.033333333333333326,0.033333333333333326,0.0,0.0,0.0,0.0,0.033333333333333326,0.0,0.0,0.0,0.0
87,0.033333333333333326,0.0,-0.10000000000000009,0.19999999999999996,0.0,0.0,0.0,0.0,-0.03333333333333344,-0.03333333333333344,-0.06666666666666676,0.0,0.0,0.0,0.0,0.033333333333333326,0.0,-0.03333333333333344,0.0,-0.03333333333333344
88,0.06666666666666665,0.0,0.06666666666666665,0.0,-0.033333333333333326,0.0,0.0,-0.06666666666666665,0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033333333333333326
89,0.09999999999999998,0.06666666666666665,0.09999999999999998,0.06666666666666665,0.16666666666666674,0.09999999999999998,-0.033333333333333326,0.033333333333333326,0.0,0.033333333333333326,-0.033333333333333326,0.0,-0.033333333333333326,0.0,0.0,0.033333333333333326,0.0,0.06666666666666665,0.0,0.0
90,0.0,0.033333333333333326,0.0,0.0,0.0,0.0,-0.033333333333333326,0.0,-0.06666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,0.033333333333333326,0.0,0.0,-0.033333333333333326,0.0,0.0,0.06666666666666665,0.0,0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.033333333333333326
92,0.06666666666666665,0.033333333333333326,0.033333333333333326,0.0,0.06666666666666665,0.0,0.06666666666666665,-0.033333333333333326,0.0,0.033333333333333326,0.033333333333333326,0.0,0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,0.033333333333333326,0.0,0.033333333333333326,-0.03333333333333344,0.033333333333333326,0.0,0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03333333333333344,0.0,0.033333333333333326,0.0,0.033333333333333326
94,-0.09999999999999998,0.033333333333333326,0.0,0.0,-0.033333333333333326,0.0,0.0,-0.033333333333333326,0.0,0.0,0.0,0.0,-0.033333333333333326,0.0,0.0,0.0,-0.033333333333333326,0.0,0.0,0.0
95,-0.033333333333333326,-0.033333333333333326,0.0,0.0,0.033333333333333326,-0.033333333333333326,-0.033333333333333326,0.0,0.06666666666666665,0.0,0.033333333333333326,0.0,0.033333333333333326,0.0,0.0,0.06666666666666665,0.0,0.033333333333333326,0.033333333333333326,0.0
