,third_personal_pronoun,ON_someone,verb_conditionel,score_paticules_matches,model_DEATH,second_personal_pronoun,first_personal_pronoun_sing,liwc_émopos,model_PHYSICAL_SENSATIONS,model_BODY,score_parenthetique_matches,random,L3,first_personal_pronoun_plur,verb_indicatif_imparfait,verb_indicatif_present,ON_generic,transitivity,average_clustering,degree_average
0,0.010561422783570985,0.030353552478055167,0.01540448175898443,0.005494567243227115,0.022873353979395085,0.013875082442847388,0.008004352916032076,0.003778833973531922,0.00401563062146306,0.007296241862078506,0.014398785653834538,0.0,0.0,0.0061713658794760725,0.0035859149172902107,0.003979960788351794,0.0035758003145456322,0.0031324913725256937,0.0038467752980068325,0.0
1,0.019207748024724417,0.01712645086273551,0.010071971284846465,0.024211543284822248,0.0,0.008265433075527353,0.0035922134326150028,0.006072937560578186,0.004269842881088457,0.0057194770686328405,0.0,0.003713392740736406,0.009333443161410588,0.006048992285504938,0.0027208754355087877,0.0033045053792496535,0.010547149386256928,0.003795430244877935,0.0036281621661037205,0.004231352426111698
2,0.0044866713422040145,0.0139068757041047,0.027437987386249,0.012384250216186044,0.019441380699630827,0.006077088707437118,0.0148474023581172,0.00428790571882079,0.0024331821561790995,0.003426215019077062,0.007877951679751277,0.0033084703871669873,0.00602180923707783,0.008977156358460584,0.0041747243103260785,0.002970737628638744,0.004320305801617603,0.007356833643900851,0.00544847987079993,0.009720588338871794
3,0.019499049994473657,0.014766405504196882,0.013540879770802957,0.023784223840261496,0.016641442521009592,0.01199784119116763,0.004636666287590438,0.010638116176550588,0.003496123746037481,0.0024129993797590327,0.0023567276485264308,0.012865320118842647,0.004573057333628337,0.005033076060780632,0.010649776532004279,0.006556461373033622,0.01200742065627128,0.0,0.005311915110796691,0.0025922841082016627
4,0.01389824832913777,0.0027482898794114587,0.014750065556572132,0.044629614446312194,0.011313318931187193,0.00892139132414013,0.004350305385887624,0.0066249045905036235,0.007811354251423228,0.0028896619553367307,0.002799758021719753,0.007419228807091711,0.00687667756062001,0.0047963456312815345,0.0,0.004441558138777812,0.0,0.009144154528155922,0.00662476462808748,0.006064010120928289
5,0.022507150542922315,0.01063476081021751,0.02265885838617881,0.011824688393001758,0.01609713369375095,0.020890927399819095,0.005086025934666394,0.0031839972324669377,0.003047643340813617,0.007262202764550848,0.006935729725286362,0.002894550996522109,0.0,0.00458330335840583,0.0,0.0021659517639006183,0.007061587442954382,0.0026918291350205735,0.0025281542862455038,0.0026657679746858775
6,0.046194162059730544,0.007576260098256172,0.014518971515508985,0.010747949017832678,0.004558236495902142,0.0046453312952071425,0.006096425098056595,0.005071832592909534,0.0029230760573409494,0.004095929336423674,0.0,0.0,0.007561179652499658,0.013055800148596367,0.005193395504107078,0.007679493042019508,0.0,0.0,0.0034035319065054263,0.0034289292455650863
7,0.04228121844166889,0.014755056344593565,0.012482762259741624,0.021471664188429704,0.005653142884373664,0.005504445215066277,0.009289427830372005,0.006638950916938485,0.005934341431284945,0.0031253748045613383,0.010923646098158012,0.003710848953574896,0.0,0.0,0.0027071556715915607,0.0034946710548053187,0.006561221182346343,0.009517701930521679,0.0,0.0014372968736570328
8,0.019896552847077444,0.030667560886746898,0.0037949325516819965,0.021735247790037347,0.011982928005357581,0.01111900534853339,0.0029381729634478677,0.00914534051840504,0.0,0.0,0.0,0.0025652857497334494,0.003935342188924551,0.0,0.002845727835471429,0.009202661197632552,0.0,0.0022681362458194295,0.010193482134491207,0.0
9,0.020559749377580983,0.020990747951902446,0.012608096480369564,0.0036262415085608767,0.014851976624689994,0.013311340495167922,0.011517440974091492,0.0021381775848567483,0.00416930903121829,0.015575742727300773,0.0,0.0039955485373114556,0.005034557413930693,0.00605677392333746,0.0,0.0,0.0040621842294931414,0.006978138115877907,0.0032110903797050307,0.0
