,ON_someone,model_DEATH,first_personal_pronoun_plur,L3,model_PHYSICAL_SENSATIONS,model_BODY,ON_we,transitivity,L2,difluencies_score,PQP_score,degree_average,L1,LSC,score_temporal_connector_matches,diameter_g0,score_onomatopes_matches,textblob_subjectivity,verb_indicatif_present,verb_participe_passe
0,0.24654620062055152,0.2004985703996192,0.14150744933412462,0.0,0.0,0.0,0.0,0.0,0.006377543871009439,0.0,0.0,0.0,0.0,0.0013668940963884634,0.0,0.0,0.0,0.0,0.0,0.0
1,0.2723431624880518,0.12704373178146458,0.12479695284252314,0.0,0.0,0.0,0.0,0.0,0.0,0.012510917475175225,0.0542504551768408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.2770438950668153,0.047681252182617824,0.037434399498152,0.009511736322269359,0.0,0.0,0.0,0.00380990966157547,0.0,0.0,0.0,0.0,0.044471454519755926,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.29207299226880756,0.2579116477199017,0.09377825540860744,0.0,0.0,0.0,0.08828810433839486,0.0,0.025687982871792758,0.0,0.0,0.0,0.04796588222566004,0.0,0.0,0.0,0.0,0.019640031128876054,0.0,0.0
4,0.3279030668815594,0.22969023972975386,0.07824457435767662,0.0,0.0,0.02111507794329208,0.0,0.0,0.10049582157002046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.19831501707154234,0.20336679686365672,0.1046150729915405,0.0,0.0,0.010840741335884004,0.0,0.08843578793546833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.2601098573509274,0.23131191050812303,0.05959504003563141,0.0,0.0,0.0,0.0,0.08448151103466608,0.0,0.0,0.0,0.0,0.08024374427134744,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.3337387124752924,0.09528389108244813,0.13152328123042947,0.09038530093763908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.08418490809025253,0.32870123568023757,0.2066158402369846,0.08237440021680076,0.0,0.0,0.0,0.10513804567706396,0.0,0.0,0.0,0.0,0.0,0.005779956422604989,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0683579744327273,0.30809441581784375,0.1932048850711087,0.044616530559724275,0.03806846558802626,0.09123486758224686,0.0,0.0,0.0,0.007590089480966981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.20188492141110714,0.13315141215610551,0.0822893792436911,0.01237983336816552,0.0,0.016870775035818342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007548930288073381,0.0,0.0,0.0,0.0
11,0.2208789487823722,0.1718413190213001,0.1422512436327041,0.030916097399942298,0.0,0.010478602050507787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012583062046908776,0.0,0.0,0.0,0.0,0.0,0.0
12,0.3334371131871139,0.24080199873384514,0.11700931770391888,0.06941924274707302,0.0,0.0,0.0,0.04808480601412797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.40502283459552946,0.3424983129260049,0.0,0.0,0.0,0.0,0.11856003149962396,0.0,0.0,0.0,0.04232277971622005,0.0,0.0,0.0,0.0,0.03444695395207834,0.0,0.0,0.0,0.0
14,0.37093879781090505,0.04953296894641063,0.08783613259762041,0.08896223994207805,0.1509641184793306,0.0,0.0,0.05522184881105332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.14917702048575548,0.10823725306749687,0.06252169629010923,0.0,0.0,0.05838767073757788,0.0,0.0,0.047148869146317114,0.0,0.0,0.0,0.09267601472681085,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.2005533338303603,0.16107172855157617,0.09552661824395679,0.044804009140333396,0.06419957752792951,0.14475226121538173,0.014743210567789662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.28255988499192847,0.22531272109264336,0.16438521649150292,0.03155701325302408,0.015050186275514226,0.0,0.0030533850101150516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.26938180577272536,0.1261598773536727,0.1831494657242353,0.0,0.09136518864967308,0.0,0.0,0.0,0.0,0.0,0.037239663591940295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.2428232282870464,0.18907396877751192,0.09461097558919808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.09305987160753504,0.2879785882261674,0.22214943488397138,0.01149323232849983,0.04049981019973503,0.04361686060002985,0.0,0.0,0.0,0.1316551327676017,0.0,0.0,0.0,0.00863557850372892,0.0,0.0,0.0,0.0,0.0,0.0
21,0.24513236184246362,0.1422500582077863,0.05688217647521935,0.024065179739255062,0.0030261633543478285,0.08392944550168605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.2305152317528421,0.22002283022292396,0.12109891900008495,0.0,0.0,0.007224750853258545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.20390577122240047,0.3324002141653138,0.09378792195554447,0.06593021121437764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
