,model_DEATH,difluencies_score,model_PHYSICAL_SENSATIONS,model_BODY,L2,verb_participe_passe,passive_count_norm,degree_average,average_clustering,ON_we,PQP_score,first_personal_pronoun_sing,direct_discourse_score,PE,ON_someone,L3,L1,diameter_g0,textblob_subjectivity,verb_indicatif_imparfait
0,0.3749176676160314,0.19352512222840382,0.37467637542246446,0.12453681705768047,0.15032669759505246,0.04895449526454933,0.0,0.0,0.0,0.0019695589908821838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.2229613307037275,0.23283699534054791,0.25177855806950244,0.09284309547247013,0.0,0.12050915545309088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009934541064005502,0.0,0.0,0.0,0.0,0.0
2,0.5865253632123221,0.18296200476878602,0.2761220571686914,0.0,0.08113996878391107,0.0,0.026990542097854724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.4126341048622781,0.12818639139512067,0.026141220142577377,0.41363815130319276,0.10285095485096676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.40867323564465674,0.22160524346438026,0.2007220458574616,0.05572807996568375,0.06395354469764733,0.04296684859175967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.4358409892531647,0.23400868661380708,0.2218052746515452,0.11936978388154836,0.01816498442695356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.36668912511570806,0.25707994377929255,0.2833719742673748,0.11994589625621206,0.014407184018032431,0.030311933549629248,0.0,0.0,0.0,0.07835689611358718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.2655046420327217,0.276687879103322,0.15046711596527435,0.27363433416943095,0.10116909485199367,0.07849757469810395,0.0,0.0017927430082482017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.3881808952257552,0.32836172403458425,0.2451240734450442,0.07840515617614367,0.10387468840458619,0.0,0.0,0.0,0.0,0.0,0.0,0.06186672116769581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.3294465425462353,0.15772080816420966,0.10578770790924712,0.25521505987980303,0.11127281299721309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.2889856466977692,0.3096518077461162,0.2193780848415782,0.14225965479576402,0.08667795681006542,0.03711458553683645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016769151169777053,0.0,0.0,0.0,0.0
11,0.2650307363072985,0.17918523174482032,0.34901026778237293,0.17058768580062647,0.15627583133154677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.5055760573923017,0.21339430738206713,0.0921484314874082,0.13770285934691393,0.08362247629325492,0.037140860617144174,0.22821936149799515,0.0,0.0,0.0,0.0,0.010787057145689378,0.0,0.08929290923518196,0.0,0.0,0.0,0.0,0.0,0.0
13,0.47252950823159157,0.11627338200117168,0.2573164190939353,0.24341637720028667,0.14475453719156448,0.0,0.0,0.0,0.0,0.08953387981627184,0.036770980422404564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.4239642014604856,0.39165051461147277,0.21047632436411734,0.20346409340023447,0.11933228598642333,0.13109270911357265,0.0,0.0,0.0,0.0,0.08523625425958781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.42589935193116774,0.21377196807984092,0.11855330805730696,0.16926020864039457,0.0,0.08054171452689274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.3116881359922451,0.14839443594444807,0.3005419120568644,0.22571199623273178,0.16134114749399267,0.09567358902616574,0.0,0.0,0.0,0.0,0.013266290101909122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.3725102002955694,0.22633680944663614,0.18535805235924033,0.12917290172109333,0.0731077369166279,0.0,0.0,0.0,0.0,0.020116781250695916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.3305508977376725,0.24078137363589783,0.14845646348487057,0.1708903281385207,0.019228641531907002,0.13078502705009268,0.03700444827695659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.43892201159231786,0.10543885430620258,0.14372731370101843,0.18744336866849248,0.0,0.03776129834161046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.4453753445034478,0.1909568855769491,0.11445809501542809,0.2129558121533499,0.09509036603522143,0.08715681848269521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.3182428994088085,0.28806684051599385,0.13288952069168883,0.19631323142048132,0.11226187985107747,0.0,0.0,0.025102709586670793,0.0,0.0,0.0,0.006832151891909631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.3876779696630098,0.18373179225122657,0.2463207326095807,0.007528299619925408,0.07610140118626095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
