,model_DEATH,average_shrotest_path_g0,difluencies_score,model_PHYSICAL_SENSATIONS,model_BODY,score_parenthetique_matches,L2,ON_generic,verb_participe_passe,verb_conditionel,passive_count_norm,score_temporal_connector_matches,degree_average,LSC,average_clustering,ON_we,PQP_score,first_personal_pronoun_sing,feel_positive,transitivity
0,0.27684501052042054,0.12862477914642004,0.14100280880752575,0.2784206671606755,0.08176376998243831,0.0,0.05914062120399434,0.04560097235709113,0.03896592396828503,0.0,0.0,0.10194136115755427,0.0,0.0,0.0,0.001497189262154542,0.0,0.0,0.0,0.0
1,0.1844566872966175,0.1581081170230431,0.15689806137123005,0.1928667807263825,0.06708806739256103,0.06338496062462058,0.0,0.09103237763096403,0.10763053108631801,0.0,0.0,0.1127889946083465,0.0,0.0,0.0,0.0,0.0,0.0,0.09431257230959368,0.0
2,0.3832241734687271,0.21135582513953366,0.131489066190383,0.164000775406463,0.0,0.07907358584499885,0.03437042090384941,0.04598618706778664,0.0,0.0,0.0233186499985615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.22043399650463433,0.16912147624165588,0.10323083151065492,0.020680286182350027,0.36437891489855917,0.010564579056842875,0.04331149046446973,0.05084634688094807,0.0,0.0,0.0,0.003862341079909902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.30404848719176647,0.18571814512013549,0.16293584863936142,0.1910699808164161,0.03989749832837881,0.13285175798906015,0.028379913836141576,0.018253356926569212,0.03473233121408079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.3234882160183397,0.10854039941365394,0.17542210549807596,0.14689539615319175,0.08438221082976713,0.054533417144699815,0.012641618599918287,0.0,0.0,0.06712919169370661,0.0,0.0,0.0,0.011854857843523324,0.0,0.0,0.0,0.0,0.0,0.0
6,0.2641928493443984,0.17355936802094987,0.16913486276820114,0.23666766803068662,0.11901360154940184,0.006444327052412899,0.009966006779163868,0.048504634864592895,0.023187323069818817,0.0,0.0,0.0014342445396859456,0.0,0.0,0.0,0.0708309132014167,0.0,0.0,0.004662221438516059,0.0
7,0.2327711936780312,0.11722603797688917,0.1848499919592364,0.11764448482390293,0.20048026343091968,0.08859813258905214,0.04590253353923294,0.040190341359682205,0.06496839189293684,0.0,0.0,0.0,0.0009416534603485211,0.0016846071525004642,0.0,0.0,0.0,0.0,0.0,0.0
8,0.3467493826289874,0.15347242643203948,0.2588469061160915,0.19467799244561482,0.05617006382275884,0.07936774659679834,0.04567493394991844,0.08033262864063419,0.0,0.020622371904617076,0.0,0.0,0.0,0.01802334535498947,0.0,0.0,0.0,0.05074350124977822,0.0,0.0
9,0.26023136072685016,0.11653834270390868,0.10784128967485834,0.07699240305370854,0.21594508899603196,0.09343181354177946,0.04050603486253015,0.005230331138008322,0.0,0.06116119169322988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.29137919740776996,0.12229064093037863,0.18893685480619388,0.13041903137743352,0.1257955933976681,0.0,0.04486284913278575,0.0,0.026533293831767498,0.07260138040629208,0.0,0.0879880477883161,0.0,0.07511707289625602,0.0,0.0,0.0,0.0,0.0,0.0
11,0.1865602123188844,0.13007384258794014,0.12557491715520852,0.3168125657581785,0.1416905270594433,0.021321243041018116,0.05109828817067273,0.04507030102273388,0.0,0.020272285479452794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013109496346416106
12,0.37623463066648316,0.041612190224549886,0.17971690453307704,0.0763161138394736,0.11021027047718689,0.010209444465133425,0.0468159527295139,0.0,0.03192617422496085,0.027756516637365877,0.17512859881355655,0.0,0.0,0.0,0.0,0.0,0.0,0.010314406928299996,0.0,0.0
13,0.3131143778816519,0.07753319976804357,0.09261454277223839,0.20195606235965954,0.21011399673571018,0.0,0.07617061181738895,0.022116729067110534,0.0,0.06423889071121212,0.0,0.0,0.0,0.020033966254609573,0.0,0.07478281036260306,0.030744528562309116,0.0,0.0,0.0
14,0.36806187654845013,0.03745691220708564,0.31259886191926756,0.16314006013973587,0.15636545065242646,0.10992768333549917,0.0525830199145555,0.0,0.12407809231291106,0.0059115537192342745,0.0,0.0,0.0,0.07606959980139485,0.0,0.0,0.07948374169959056,0.0,0.0,0.0
15,0.24422529248115,0.22935796588798044,0.17746439667684655,0.09667191002570058,0.1410888494080136,0.0,0.0,0.0704699729952872,0.06317866024580675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.32795297033873894,0.16205468206657112,0.10804435238198154,0.24845107270888842,0.2100628366972185,0.0,0.08489277596893971,0.051426671541352185,0.0723859545516289,0.013942922034757423,0.0,0.0,0.0,0.0,0.0,0.0,0.009265099380421327,0.0,0.0,0.0
17,0.27332772898332447,0.18555270182714018,0.1862618293920055,0.15825250394160362,0.10576958789470832,0.1500935773394656,0.03204948709515989,0.04875000600643364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013567614919412021,0.0,0.0,0.0,0.0
18,0.25907586108403274,0.12933797726962706,0.1396924312294287,0.13038620181766028,0.14506631592237634,0.1784725282491381,0.014783826584312123,0.052197291661429154,0.11134862202029336,0.0695919016837554,0.029607710662591363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020876833275601844
19,0.3784967171131128,0.17793547646075902,0.09251037691482875,0.09774725041067339,0.1324813940393476,0.12716492263074688,0.0,0.04810208206839559,0.035921185561067576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
