,auc,precision,recall,accuracy,balanced_accuracy,f1_weighted,f1_macro,f1_micro,dataset
0,0.6770186335403727,0.6688995215311005,0.6,0.6,0.5403726708074534,0.6253968253968254,0.5238095238095237,0.6,test
1,0.782608695652174,0.7787037037037037,0.7,0.7,0.7049689440993789,0.721181001283697,0.6534017971758665,0.7,test
2,0.6335403726708074,0.7166666666666667,0.6333333333333333,0.6333333333333333,0.6118012422360248,0.6592212237911854,0.5763799743260591,0.6333333333333333,test
3,0.6459627329192547,0.7166666666666667,0.6333333333333333,0.6333333333333333,0.6118012422360248,0.6592212237911854,0.5763799743260591,0.6333333333333333,test
4,0.8509316770186335,0.8428030303030304,0.8333333333333334,0.8333333333333334,0.7919254658385093,0.8370370370370371,0.7777777777777778,0.8333333333333334,test
5,0.7577639751552795,0.7304625199362041,0.6666666666666666,0.6666666666666666,0.6335403726708074,0.6878306878306879,0.6031746031746033,0.6666666666666666,test
6,0.7763975155279503,0.8292609351432881,0.7333333333333333,0.7333333333333333,0.7763975155279503,0.7533333333333333,0.7,0.7333333333333333,test
7,0.7453416149068324,0.7555555555555556,0.7666666666666667,0.7666666666666667,0.6490683229813664,0.7601745771958537,0.6563011456628478,0.7666666666666667,test
8,0.7391304347826086,0.7920255183413079,0.7333333333333333,0.7333333333333333,0.7267080745341614,0.7502645502645503,0.6825396825396826,0.7333333333333333,test
9,0.8074534161490683,0.8232804232804233,0.8,0.8,0.7701863354037267,0.8079545454545455,0.7443181818181819,0.8000000000000002,test
10,0.7453416149068324,0.745,0.7,0.7,0.65527950310559,0.7160054719562243,0.6306429548563611,0.7,test
11,0.7453416149068324,0.7147727272727273,0.7,0.7,0.6055900621118012,0.7066666666666668,0.6,0.7,test
12,0.5527950310559007,0.6833333333333335,0.6333333333333333,0.6333333333333333,0.562111801242236,0.6528955768353852,0.5485636114911081,0.6333333333333333,test
13,0.5776397515527951,0.745,0.7,0.7,0.65527950310559,0.7160054719562243,0.6306429548563611,0.7,test
14,0.6273291925465839,0.7147727272727273,0.7,0.7,0.6055900621118012,0.7066666666666668,0.6,0.7,test
15,0.7763975155279503,0.7787037037037037,0.7,0.7,0.7049689440993789,0.721181001283697,0.6534017971758665,0.7,test
16,0.6956521739130435,0.6984126984126984,0.6666666666666666,0.6666666666666666,0.5838509316770186,0.6799242424242424,0.5738636363636364,0.6666666666666666,test
17,0.7950310559006212,0.8535885167464113,0.8,0.8,0.8198757763975155,0.8126984126984127,0.7619047619047619,0.8000000000000002,test
18,0.6956521739130436,0.6984126984126984,0.6666666666666666,0.6666666666666666,0.5838509316770186,0.6799242424242424,0.5738636363636364,0.6666666666666666,test
19,0.6832298136645962,0.7031674208144796,0.6,0.6,0.5900621118012422,0.63,0.55,0.6,test
20,0.8074534161490683,0.8066666666666666,0.7666666666666667,0.7666666666666667,0.7484472049689441,0.7791153670770634,0.7127222982216141,0.7666666666666667,test
21,0.7701863354037267,0.7787037037037037,0.7,0.7,0.7049689440993789,0.721181001283697,0.6534017971758665,0.7,test
22,0.7639751552795031,0.7787037037037037,0.7,0.7,0.7049689440993789,0.721181001283697,0.6534017971758665,0.7,test
23,0.7453416149068323,0.7147727272727273,0.7,0.7,0.6055900621118012,0.7066666666666668,0.6,0.7,test
24,0.7701863354037267,0.7608465608465608,0.7333333333333333,0.7333333333333333,0.6770186335403727,0.743939393939394,0.6590909090909092,0.7333333333333333,test
25,0.7391304347826086,0.7787037037037037,0.7,0.7,0.7049689440993789,0.721181001283697,0.6534017971758665,0.7,test
26,0.732919254658385,0.7147727272727273,0.7,0.7,0.6055900621118012,0.7066666666666668,0.6,0.7,test
27,0.7950310559006212,0.808888888888889,0.6666666666666666,0.6666666666666666,0.7329192546583851,0.6921850079744817,0.6411483253588517,0.6666666666666666,test
28,0.7577639751552795,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.6273291925465838,0.7333333333333333,0.6273291925465838,0.7333333333333333,test
29,0.6211180124223602,0.7422222222222222,0.6,0.6,0.639751552795031,0.6306220095693779,0.569377990430622,0.6,test
30,0.6459627329192548,0.7066666666666668,0.7333333333333333,0.7333333333333333,0.577639751552795,0.7166666666666666,0.5833333333333333,0.7333333333333333,test
31,0.6770186335403727,0.7541666666666667,0.6333333333333333,0.6333333333333333,0.6614906832298137,0.6615384615384615,0.5970695970695971,0.6333333333333333,test
32,0.6645962732919255,0.7422222222222222,0.6,0.6,0.639751552795031,0.6306220095693779,0.569377990430622,0.6,test
33,0.7142857142857143,0.7608465608465608,0.7333333333333333,0.7333333333333333,0.6770186335403727,0.743939393939394,0.6590909090909092,0.7333333333333333,test
34,0.7453416149068323,0.7920255183413079,0.7333333333333333,0.7333333333333333,0.7267080745341614,0.7502645502645503,0.6825396825396826,0.7333333333333333,test
35,0.782608695652174,0.7787037037037037,0.7,0.7,0.7049689440993789,0.721181001283697,0.6534017971758665,0.7,test
36,0.7142857142857142,0.7166666666666667,0.6333333333333333,0.6333333333333333,0.6118012422360248,0.6592212237911854,0.5763799743260591,0.6333333333333333,test
37,0.7453416149068323,0.6984126984126984,0.6666666666666666,0.6666666666666666,0.5838509316770186,0.6799242424242424,0.5738636363636364,0.6666666666666666,test
