,verb_indicatif_future,model_BODY,model_DEATH,degree_average,diameter_g0,difluencies_score,model_PHYSICAL_SENSATIONS,first_personal_pronoun_plur,transitivity,PE,first_personal_pronoun_sing,L2,ON_someone,ON_we,LSC,verb_indicatif_present,ON_generic,score_onomatopes_matches,score_parenthetique_matches,direct_discourse_score
0,0.39734846873698754,0.2697511071817987,0.3372061753100714,0.23015595801127992,0.45429339990794915,0.12558817045142728,0.0,0.0,0.0,0.0,0.0,0.0,0.03862806498563756,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.4573418825119697,0.3875441130204609,0.14756116462533034,0.1710768633155837,0.0,0.02967503373590722,0.159286220343403,0.03587254983753674,0.0,0.0,0.0,0.0,0.029101168176796963,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.22858213249553713,0.2547410695529573,0.366185272137178,0.32988387897461974,0.0,0.04720166631424858,0.2829185279240538,0.028429126206010142,0.0,0.16867384451410558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.33966748091253,0.1568250697616084,0.33841175548264,0.26489799822839866,0.4374693174955861,0.1189955108758412,0.0,0.0,0.0,0.0,0.0,0.0035392270158604543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.3398908652609312,0.24838147101694363,0.11105296037729179,0.27554209193958773,0.29452924644349054,0.25681009788423775,0.2819235370304414,0.040705308867608626,0.05671886839366142,0.0,0.0,0.0008686625826550706,0.0,0.0,0.0,0.0,0.004623030624457972,0.0,0.0,0.0
5,0.33403634343951194,0.35761602958205085,0.16925989937633157,0.10818011562558412,0.24852200211601932,0.0,0.004751831468471737,0.022730551971969354,0.0,0.0,0.0,0.03566713447748822,0.0,0.028910626781436858,0.0,0.0,0.0,0.0,0.0,0.0
6,0.2671674754352847,0.28044135884193117,0.11845442358727118,0.2782882604888096,0.06933302583459167,0.2343207022674583,0.1002535046022958,0.0,0.03775729691234058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.08179419873253163,0.21767774564482764,0.37307345116332585,0.30554721791052236,0.11020998055685353,0.19483874836917636,0.255185423203023,0.09253699928589616,0.0,0.07724476365792333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.2537350998313859,0.32322647433294444,0.27539217583884845,0.27599908727881806,0.040281609310645776,0.18558230120767746,0.0,0.0,0.0,0.0,0.002909385514059654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.2528911805984028,0.2586484138396309,0.117792174301012,0.35297277095694435,0.0,0.26472099242041125,0.1563397766127653,0.0,0.09768718242358053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.21689647992818273,0.35895340753311716,0.2251819588291237,0.06886494643266519,0.2742266221638594,0.13370879839807973,0.2996676128512247,0.0,0.0,0.0,0.0,0.0,0.0,0.0060155658533256684,0.0,0.0,0.0,0.0,0.0,0.0
11,0.4540899595162157,0.38761236643772007,0.06232600791167986,0.17068832948772727,0.0,0.039575631800005846,0.1134419024166846,0.016873558464755887,0.2221530223378306,0.0,0.01729018709909235,0.0,0.0,0.0,0.0,0.0,0.0,0.013873335102899289,0.0,0.0
12,0.4545788313560125,0.2114838875156923,0.1703178339361253,0.11156604228160916,0.004827280765833332,0.042091491307595964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.2923360403688658,0.32655364137950954,0.39070434448958824,0.08408920640126011,0.19750270372779435,0.11358824803367164,0.0,0.0,0.14199970877946855,0.0,0.0,0.027200000064854766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.20397566512273593,0.28066456907963466,0.42944455735520326,0.02705665501428435,0.0,0.2760682443874692,0.0,0.0,0.0,0.0,0.04995570590741025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.3756357452864746,0.30348332469796346,0.08394547614420736,0.2944634057451637,0.20581797574871002,0.19706627108812366,0.1131592805874746,0.021919242632028022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.2226499486170228,0.29071327091051075,0.39046202626409093,0.10907038667303756,0.31952211467180536,0.16150305151482502,0.11510822168995442,0.225495474282204,0.0,0.0,0.0,0.05617858605843281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.27068622637479134,0.27114388381389,0.4331407515393825,0.07413785921720159,0.20262188713582485,0.21451137704471754,0.0,0.0,0.0,0.0,0.026328117583254214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.2746869593412984,0.25573410837964894,0.28727013654118844,0.3799452420395545,0.13597909853629384,0.19924976320073856,0.32893975237400264,0.11800066863540913,0.0,0.037983506733987336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.08716517130773037,0.3629404408850721,0.31685689787109783,0.35542721075060535,0.0,0.10512339655021104,0.0,0.35575639711934703,0.0,0.16063648296046942,0.011429791526192931,0.040753782190888835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.33745694342512134,0.17684504862460965,0.10277826309655817,0.19111927692897113,0.16887745838828294,0.0,0.0,0.21531988072474004,0.0,0.0,0.05029533009533635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
