,verb_indicatif_future,model_BODY,model_DEATH,degree_average,difluencies_score,model_PHYSICAL_SENSATIONS,verb_conditionel,diameter_g0,score_generical_connector_matches,feel_positive,score_paticules_matches,first_personal_pronoun_plur,transitivity,textblob_polarity,PE,third_personal_pronoun,first_personal_pronoun_sing,average_shrotest_path_g0,PQP_score,ON_someone
76,0.16687037248375158,0.24023324288258138,0.03195625695225895,0.15190080890937258,0.013144474423908951,0.5067724828312252,0.1454781947187255,0.07134581259149499,0.014496125020592061,0.027399067373850818,0.07456692143756723,0.0,0.28109081068855674,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,0.25435342195626137,0.12682701890944076,0.11196475608876175,0.16358590743296095,0.022853035286180205,0.0,0.12755248572888706,0.04939854879339914,0.14367015671751396,0.1540314014034708,0.007113452579812134,0.24387466972170013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12650097326772322
78,0.21686572105734933,0.24187845629963636,0.3261869328460482,0.3583827964200608,0.0,0.030071835775903572,0.10470058215522511,0.012097651398673267,0.0,0.009649822142377695,0.08252045469371962,0.1664698985095941,0.06972799537262599,0.06586387480417481,0.004529409874502135,0.08922601695039466,0.0,0.02271406908129205,0.0,0.0
79,0.14855159082580238,0.2959154384741826,0.32039814263314204,0.37398247901364423,0.08180139623154607,0.0038514918224207707,0.033462133882910985,0.0,0.1553024428944022,0.0,0.01565436677241459,0.009393185004282989,0.02632987558920836,0.0,0.10550957567480652,0.0,0.0,0.0,0.0,0.0
80,0.16901447914304144,0.13768605175938858,0.1638363177093662,0.16915038298168128,0.19329008172535633,0.17510604625201673,0.138238000733291,0.0,0.2665778428637434,0.013057689355044661,0.0,0.09279052032208186,0.04319284282555171,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,0.29629619110932676,0.05855370400993623,0.4356107047199858,0.30310073383463265,0.0,0.020743016601136945,0.0,0.13753659262614354,0.0,0.11317334905648163,0.0,0.005922987105526845,0.04173088546146006,0.08371366501550025,0.04605413050399274,0.0,0.0,0.0,0.0,0.0
82,0.23418349736835045,0.36100904832268427,0.19556894027251795,0.19596651432286077,0.040175228689075214,0.06293110664863376,0.17745822830060834,0.06749748957127649,0.04795921562296008,0.03405110773571765,0.1775868323748723,0.19082791187562162,0.0,0.11118373852620068,0.0,0.03745318284201891,0.06735778352665385,0.0,0.0,0.0
83,0.2275562788303456,0.2931057351674238,0.17782737758438077,0.15148852233962232,0.07929200442684975,0.008364695711819994,0.0,0.17514873300474437,0.019998008148523885,0.15056191155014745,0.10763882202240792,0.054026985356690406,0.06236405014304007,0.0585423320777616,0.0,0.0,0.0,0.0015354830370962844,0.025178061126781455,0.0
84,0.2793534732638238,0.20382685432889985,0.2046731499527312,0.1781408990729026,0.028848482439605045,0.014858338418856127,0.1997497796110474,0.20082964615955504,0.07578878544348185,0.13553702321442757,0.0,0.15774915640512965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026819320077823297
85,0.2573365597367235,0.10188297159526333,0.32291197687106526,0.226655282744576,0.0,0.0,0.06005342219672573,0.0,0.0,0.10550235954452704,0.0,0.0,0.0,0.021217817248717397,0.17445810765125322,0.0,0.0,0.0,0.0,0.0
86,0.22849159194013385,0.04690459610286508,0.35735571906201163,0.3503117246833535,0.020085451465210794,0.07153217515752641,0.11658971958269097,0.05798438481405285,0.0702897897017416,0.0,0.0,0.16839449244167573,0.0,0.11557108319433115,0.08927925555731454,0.026327082821014477,0.0412963302363149,0.0,0.0,0.0
87,0.15915552239223166,0.2780550759152905,0.025702409103881187,0.13552797665422617,0.4154002266307011,0.05509483961549373,0.09552140311867634,0.0,0.17585236215127462,0.07637222405019749,0.0,0.021625861258446236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,0.23268367452028393,0.3123819209096656,0.24456682372680796,0.14825770916680517,0.07422097953965691,0.0,0.1380297910713863,0.047821954403143546,0.07956741376712649,0.0,0.13842890172859612,0.0726443483835323,0.18983416449797721,0.04096982174993336,0.0,0.0,0.010277007372303533,0.0,0.013426008018513206,0.0
89,0.34764506335828727,0.2612576035701272,0.1625823708070051,0.16311782044186607,0.09976283709395613,0.06229024510847638,0.0,0.10011184806954888,0.0463441056144849,0.09720896161501402,0.008475248644169668,0.04690549192453638,0.0,0.03882715782516552,0.0,0.0,0.0,0.0,0.0,0.0
90,0.32505561630171553,0.18460921603739022,0.08868019530156439,0.15712269401736872,0.0,0.0,0.15214703498044901,0.09159737295954636,0.0,0.1760857287786087,0.0,0.153373244598768,0.0,0.02045408570940203,0.0,0.0,0.0,0.0,0.0,0.0244564213877253
91,0.19680542904786352,0.2691226288698859,0.20165005547678871,0.13477149142390898,0.11002671030895529,0.04564786066545501,0.07549424060866793,0.020287991102127163,0.1580698955613084,0.0,0.08974979387532499,0.0,0.0,0.04499290566594598,0.0,0.0,0.03731484959064483,0.0,0.0,0.0
92,0.23062192883041666,0.15809788687037854,0.1895302893623273,0.11512571040071161,0.25584467629829744,0.0495463767769496,0.046918040542323736,0.0915345922415073,0.027551553801226238,0.09792408921480686,0.0,0.0,0.07703082266930268,0.0,0.0,0.0,0.0,0.03575287714361052,0.0,0.0
93,0.1977986841113508,0.27838435237895526,0.13844327175158586,0.1048199903117865,0.08591320461628174,0.0,0.10338233554348047,0.11383676688168401,0.052628013153336865,0.0018822001386307285,0.0,0.0,0.06135620970880138,0.12167252789454823,0.0,0.03116259730348236,0.0,0.052957084741117794,0.026607491020921123,0.0
94,0.15184278897294512,0.414038479657221,0.2640689616517852,0.011571805291248662,0.07230821678367055,0.0,0.1385607596735553,0.05683086457226858,0.03798336761331414,0.029252153340383894,0.05517039761768876,0.0,0.06136123518324748,0.07904874946209257,0.0,0.0,0.0,0.0,0.0,0.0
95,0.28732231485938087,0.21444043858924164,0.12998665734874007,0.14854253088814798,0.1780740509581761,0.01400995838916101,0.1328519013291512,0.021924735275379394,0.08183177705217812,0.07863269134254851,0.05883861180527091,0.19288426650538468,0.0,0.0,0.0,0.012076953462015805,0.0,0.0,0.0,0.0
96,0.22646918991227563,0.19966103712603805,0.2898367122106957,0.05474377229642515,0.132798998800644,0.04562536215574367,0.12548950679387624,0.20408848074137073,0.0,0.05124856600580075,0.013788635876146994,0.0,0.09580456556838132,0.08014752405542613,0.0,0.0,0.0,0.0,0.0,0.0023751247490480915
