,x,y,T,U-val,alternative,p-val,RBC,CLES,cohen,power
2,CC_probable,model_BODY,,1866.0,two-sided,0.00188842530400653,0.30007501875468867,0.34996249062265566,-0.4635640950658867,0.7893367921651965
1,CC_probable,verb_participe_passe,,1993.0,two-sided,0.008958504722389536,0.2524381095273819,0.37378094523630906,-0.3841647700986093,0.6295758022401465
3,CC_probable,model_PHYSICAL_SENSATIONS,,2109.0,two-sided,0.03055286151461096,0.20892723180795203,0.395536384096024,-0.4174317195956588,0.701620992031074
0,CC_probable,liwc_mort,,2150.0,two-sided,0.045116598923774266,0.19354838709677424,0.4032258064516129,-0.35547651714563383,0.5634430859125342
