,model_DEATH,PQP_score,model_PHYSICAL_SENSATIONS,transitivity,difluencies_score,random,third_personal_pronoun,score_paticules_matches,score_temporal_connector_matches,verb_indicatif_future,verb_conditionel,diameter_g0,score_onomatopes_matches,verb_indicatif_imparfait,LCC,NOM_PERCEPTIONS_SENSORIELLES,first_personal_pronoun_sing,score_parenthetique_matches,textblob_subjectivity,score_generical_connector_matches
0,0.0,0.06666666666666665,0.0,-0.03333333333333344,-0.10000000000000009,0.0,0.033333333333333326,0.0,0.0,0.0,0.033333333333333326,0.0,0.0,-0.03333333333333344,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06666666666666665,0.0,0.0
2,0.0,0.0,0.033333333333333326,0.033333333333333326,0.0,0.06666666666666665,-0.06666666666666676,0.0,0.0,0.0,0.0,0.0,0.0,-0.03333333333333344,0.0,0.0,0.0,0.0,0.0,0.0
3,-0.13333333333333341,-0.06666666666666665,-0.033333333333333326,0.0,-0.10000000000000009,0.033333333333333326,-0.033333333333333326,-0.033333333333333326,0.0,0.06666666666666665,0.0,0.0,0.0,-0.06666666666666665,0.0,0.0,0.0,0.033333333333333326,-0.06666666666666665,0.0
4,0.0,0.0,0.0,-0.033333333333333326,0.033333333333333326,0.0,0.0,0.0,-0.033333333333333326,0.0,0.0,0.0,-0.033333333333333326,-0.06666666666666665,0.0,0.0,0.0,0.0,0.0,0.033333333333333326
5,0.06666666666666665,0.0,0.033333333333333326,0.0,0.033333333333333326,-0.033333333333333326,-0.09999999999999998,0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.033333333333333326,-0.06666666666666665,0.033333333333333326,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033333333333333326,0.0,0.0,0.0,0.0,0.033333333333333326,0.0,0.0,0.0,0.0,0.0,-0.06666666666666665,0.0
7,0.0,0.0,0.0,0.0,0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0
8,0.06666666666666676,-0.033333333333333326,0.0,0.0,-0.033333333333333326,0.03333333333333344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333344,0.03333333333333344,0.0,-0.033333333333333326
9,0.033333333333333326,0.0,0.0,0.0,0.0,0.0,-0.033333333333333326,0.06666666666666665,0.0,-0.033333333333333326,0.0,0.0,-0.033333333333333326,0.033333333333333326,0.0,0.0,0.0,0.033333333333333326,0.0,0.033333333333333326
10,0.0,0.0,-0.033333333333333326,0.0,0.0,0.0,0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.06666666666666665,0.0,0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666665
12,0.0,0.0,-0.033333333333333326,0.0,0.0,-0.033333333333333326,0.0,0.06666666666666676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.033333333333333326,0.0
13,0.033333333333333326,0.033333333333333326,0.0,0.0,-0.033333333333333326,0.0,0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033333333333333326,-0.033333333333333326,0.0
14,0.033333333333333326,-0.06666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.033333333333333326,0.0,0.0,0.0,0.0,0.0,-0.033333333333333326,0.0
15,-0.033333333333333326,0.0,0.0,0.0,-0.033333333333333326,0.06666666666666665,0.06666666666666665,-0.033333333333333326,-0.033333333333333326,-0.033333333333333326,0.0,0.0,-0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.06666666666666665,0.0,0.033333333333333326,0.033333333333333326,0.06666666666666665,0.0,0.06666666666666665,0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.03333333333333344,-0.033333333333333326,-0.033333333333333326,0.0,0.0,-0.033333333333333326,0.0,-0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.033333333333333326,0.0
19,0.06666666666666665,0.0,0.0,0.033333333333333326,0.0,0.06666666666666665,0.033333333333333326,0.033333333333333326,0.0,0.033333333333333326,0.0,0.0,0.0,0.033333333333333326,0.0,0.0,0.0,-0.06666666666666665,0.0,0.0
20,-0.03333333333333344,0.0,0.0,0.0,0.0,0.0,-0.06666666666666676,0.0,0.0,0.0,0.0,0.0,0.0,-0.03333333333333344,0.0,0.0,0.0,-0.03333333333333344,-0.03333333333333344,-0.03333333333333344
21,-0.033333333333333326,0.0,0.0,0.0,0.0,0.033333333333333326,0.0,0.0,-0.06666666666666665,-0.033333333333333326,0.0,0.0,0.0,-0.033333333333333326,0.0,0.0,0.0,-0.033333333333333326,0.0,0.0
22,0.033333333333333326,0.09999999999999998,0.033333333333333326,0.0,-0.06666666666666665,0.0,0.0,0.06666666666666665,0.0,-0.06666666666666665,-0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.033333333333333326,0.0,0.0
23,-0.06666666666666665,0.033333333333333326,0.0,0.033333333333333326,0.0,0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,-0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.033333333333333326,0.0,0.0,0.0,0.033333333333333326,0.0,0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,-0.03333333333333344,0.033333333333333326,0.033333333333333326,-0.03333333333333344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03333333333333344
26,0.033333333333333326,0.0,0.0,0.033333333333333326,0.033333333333333326,0.09999999999999998,0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.033333333333333326,0.0,0.0,0.0,0.0,0.033333333333333326,0.0,0.0
27,0.0,0.0,0.0,0.033333333333333326,0.033333333333333326,0.0,0.0,0.0,-0.033333333333333326,0.0,0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,-0.06666666666666665,0.0,0.0,0.03333333333333344,0.03333333333333344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033333333333333326,0.0,0.0
30,-0.033333333333333326,0.0,-0.06666666666666665,0.0,0.033333333333333326,-0.033333333333333326,0.0,0.0,-0.033333333333333326,-0.033333333333333326,-0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,-0.033333333333333326,0.0,0.09999999999999998,0.033333333333333326,0.0,0.0,-0.033333333333333326,0.033333333333333326,0.0,0.033333333333333326,0.033333333333333326,0.0,0.033333333333333326,0.0,0.0,0.0,0.033333333333333326,-0.033333333333333326,0.06666666666666665,0.0
32,0.0,0.033333333333333326,0.0,0.0,0.0,0.0,0.033333333333333326,0.0,0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033333333333333326,0.033333333333333326
33,-0.06666666666666676,0.0,0.0,-0.033333333333333326,0.0,0.0,0.033333333333333326,-0.033333333333333326,0.0,-0.033333333333333326,-0.06666666666666676,0.0,-0.06666666666666676,0.0,0.0,0.0,0.0,0.0,0.033333333333333326,-0.033333333333333326
34,0.0,0.033333333333333326,0.0,0.0,0.0,0.06666666666666665,0.0,0.033333333333333326,0.033333333333333326,0.0,0.0,0.0,0.0,0.033333333333333326,0.0,0.0,0.033333333333333326,0.0,0.0,0.0
35,0.0,0.0,0.033333333333333326,0.0,0.033333333333333326,0.0,0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033333333333333326,0.0,0.0,0.0
36,0.06666666666666676,0.0,0.10000000000000009,0.0,0.033333333333333326,0.0,0.033333333333333326,0.0,-0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.033333333333333326,0.0,0.06666666666666676,-0.033333333333333326
37,0.033333333333333326,0.033333333333333326,0.033333333333333326,0.0,0.09999999999999998,0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033333333333333326,0.033333333333333326
38,0.033333333333333326,0.0,0.0,0.0,0.0,-0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033333333333333326,0.0,0.0,0.0,0.0,0.033333333333333326,0.0
39,0.06666666666666665,0.06666666666666665,0.033333333333333326,0.0,0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033333333333333326,0.033333333333333326,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.033333333333333326,0.0,0.0,0.033333333333333326,0.033333333333333326,0.0,0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.033333333333333326,0.033333333333333326,0.0,0.0,0.033333333333333326,0.033333333333333326,0.0,0.033333333333333326,0.033333333333333326,0.13333333333333341,0.033333333333333326,0.0,0.0,0.06666666666666665,0.0,0.0,0.0,0.033333333333333326,0.0,0.033333333333333326
42,0.0,0.0,0.0,0.0,0.0,-0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.033333333333333326,0.0,0.0
43,0.0,0.033333333333333326,0.0,0.0,0.0,0.033333333333333326,0.0,0.0,0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.10000000000000009,0.033333333333333326,0.0,0.0,0.033333333333333326,0.0,0.0,0.033333333333333326,0.0,0.0,0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,-0.033333333333333326,0.0,-0.033333333333333326
45,0.0,0.0,-0.033333333333333326,0.033333333333333326,0.06666666666666665,-0.033333333333333326,0.0,0.0,0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.033333333333333326,0.0,0.0
46,0.033333333333333326,-0.06666666666666665,0.0,-0.033333333333333326,0.0,0.0,0.0,-0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06666666666666665,-0.033333333333333326,0.0,0.0
47,-0.06666666666666665,-0.06666666666666665,0.0,-0.033333333333333326,-0.06666666666666665,-0.033333333333333326,0.06666666666666676,0.0,0.0,-0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,-0.06666666666666665,0.0,0.0,0.0,-0.033333333333333326,0.0,0.03333333333333344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333344,-0.033333333333333326,0.0,0.0
49,0.0,0.0,0.0,0.0,-0.033333333333333326,0.0,0.0,-0.06666666666666665,0.0,0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.13333333333333341,0.0,0.033333333333333326,0.0,-0.06666666666666665,0.033333333333333326,0.0,0.033333333333333326,-0.033333333333333326,0.033333333333333326,0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033333333333333326,0.033333333333333326
51,0.0,-0.06666666666666665,0.0,-0.06666666666666665,-0.13333333333333341,-0.06666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.033333333333333326,0.0,0.0,-0.033333333333333326,0.033333333333333326,0.0,0.0
52,0.033333333333333326,0.033333333333333326,0.0,0.0,0.0,0.033333333333333326,0.0,0.033333333333333326,0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033333333333333326,0.033333333333333326,0.0
53,-0.033333333333333326,0.0,0.0,0.0,0.033333333333333326,0.033333333333333326,-0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033333333333333326,0.0,0.0,0.0
54,-0.03333333333333344,-0.03333333333333344,-0.03333333333333344,0.0,0.033333333333333326,0.0,0.0,-0.10000000000000009,0.0,-0.03333333333333344,0.0,0.0,0.0,-0.03333333333333344,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.13333333333333341,0.0,0.0,-0.033333333333333326,0.033333333333333326,0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,-0.10000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033333333333333326,0.033333333333333326,0.0,0.0,0.0,0.033333333333333326,0.0,0.0,0.0,-0.03333333333333344,0.0,-0.03333333333333344
57,0.06666666666666676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06666666666666665,0.0,0.0
58,0.06666666666666665,0.0,0.0,0.0,0.033333333333333326,-0.033333333333333326,0.033333333333333326,-0.033333333333333326,0.0,0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,0.06666666666666665,0.0,0.033333333333333326,0.0,-0.06666666666666676,0.0,0.0,0.0,0.0,0.0,0.033333333333333326,0.0,0.06666666666666665,0.0,0.0,0.0,-0.03333333333333344,0.0,0.0,0.0
60,0.0,0.06666666666666665,0.033333333333333326,0.0,0.033333333333333326,0.0,0.033333333333333326,0.0,0.0,0.0,0.033333333333333326,0.0,0.0,0.033333333333333326,0.0,0.0,0.0,0.033333333333333326,0.0,0.033333333333333326
61,-0.06666666666666665,0.0,-0.09999999999999998,-0.033333333333333326,0.06666666666666676,0.0,0.0,0.0,0.0,-0.033333333333333326,0.0,0.0,-0.06666666666666665,0.03333333333333344,0.0,0.0,-0.033333333333333326,-0.06666666666666665,0.03333333333333344,0.0
62,-0.06666666666666665,0.0,0.033333333333333326,0.0,0.0,0.0,0.033333333333333326,0.0,0.0,0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666665,0.0,0.0,0.033333333333333326
63,0.0,0.033333333333333326,-0.033333333333333326,0.0,-0.033333333333333326,0.0,0.0,-0.033333333333333326,0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0,0.06666666666666665,0.0,0.0,0.0,0.0,-0.033333333333333326,0.0,0.0,0.0,0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0
65,0.0,-0.033333333333333326,0.033333333333333326,0.0,0.0,-0.033333333333333326,-0.033333333333333326,0.0,-0.033333333333333326,0.0,0.0,0.0,-0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,0.0,-0.03333333333333344,-0.10000000000000009,-0.03333333333333344,-0.03333333333333344,0.0,0.0,-0.03333333333333344,-0.03333333333333344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03333333333333344,0.033333333333333326,-0.03333333333333344,0.0
67,0.033333333333333326,0.0,0.0,0.0,-0.033333333333333326,0.033333333333333326,0.0,-0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033333333333333326,0.0
68,0.0,0.0,0.0,0.0,-0.033333333333333326,-0.033333333333333326,0.03333333333333344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.033333333333333326,0.0,0.0,0.0
69,0.033333333333333326,0.0,-0.033333333333333326,0.0,0.033333333333333326,0.0,-0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
