,auc,precision,recall,accuracy,balanced_accuracy,f1_weighted,f1_macro,f1_micro,dataset
0,0.4938271604938272,0.7875,0.7,0.7,0.3888888888888889,0.7411764705882354,0.411764705882353,0.7,test
1,0.46913580246913583,0.7961538461538461,0.7666666666666667,0.7666666666666667,0.42592592592592593,0.7811320754716982,0.4339622641509434,0.7666666666666667,test
2,0.5925925925925926,0.8200000000000001,0.6333333333333333,0.6333333333333333,0.5,0.7047463175122749,0.45990180032733224,0.6333333333333333,test
3,0.6296296296296297,0.7875,0.7,0.7,0.3888888888888889,0.7411764705882354,0.411764705882353,0.7,test
4,0.7777777777777777,0.8480000000000001,0.8,0.8,0.5925925925925926,0.8211538461538461,0.5673076923076923,0.8000000000000002,test
5,0.7777777777777779,0.8,0.8,0.8,0.4444444444444444,0.8,0.4444444444444444,0.8000000000000002,test
6,0.5308641975308642,0.8306818181818181,0.7,0.7,0.537037037037037,0.7528756957328386,0.4990723562152134,0.7,test
7,0.7407407407407408,0.8793650793650793,0.7333333333333333,0.7333333333333333,0.7037037037037037,0.7833333333333333,0.5833333333333334,0.7333333333333333,test
8,0.654320987654321,0.792,0.7333333333333333,0.7333333333333333,0.4074074074074074,0.7615384615384616,0.4230769230769231,0.7333333333333333,test
9,0.4444444444444445,0.8253968253968254,0.6666666666666666,0.6666666666666666,0.5185185185185185,0.7291666666666667,0.4791666666666667,0.6666666666666666,test
10,0.4320987654320988,0.7875,0.7,0.7,0.3888888888888889,0.7411764705882354,0.411764705882353,0.7,test
11,0.8024691358024691,0.9230769230769231,0.6666666666666666,0.6666666666666666,0.8148148148148149,0.7329545454545454,0.5738636363636364,0.6666666666666666,test
12,0.7777777777777778,0.8624434389140271,0.6,0.6,0.6296296296296295,0.6795454545454545,0.4886363636363636,0.6,test
13,0.4814814814814815,0.792,0.7333333333333333,0.7333333333333333,0.4074074074074074,0.7615384615384616,0.4230769230769231,0.7333333333333333,test
14,0.6296296296296297,0.8306818181818181,0.7,0.7,0.537037037037037,0.7528756957328386,0.4990723562152134,0.7,test
15,0.5432098765432098,0.8253968253968254,0.6666666666666666,0.6666666666666666,0.5185185185185185,0.7291666666666667,0.4791666666666667,0.6666666666666666,test
16,0.5185185185185185,0.7714285714285715,0.6,0.6,0.3333333333333333,0.675,0.375,0.6,test
