,difluencies_score,model_DEATH,model_PHYSICAL_SENSATIONS,transitivity,average_clustering,first_personal_pronoun_plur,textblob_subjectivity,model_BODY,verb_participe_passe,L2,verb_conditionel,ON_we,passive_count_norm,PQP_score,liwc_émonég,first_personal_pronoun_sing,diameter_g0,direct_discourse_score,ON_someone,verb_indicatif_imparfait
0,0.3258293383307739,0.22347773996956846,0.07562103477202363,0.16781755915644672,0.0,0.08948189490853824,0.11596592407817437,0.20209911689731683,0.0,0.11054450570802068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.37362142621285915,0.24573928738204995,0.02422328297829035,0.10722777520407148,0.0,0.07085257434002673,0.10055248618585375,0.06643903736615564,0.03393098390649238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.3648965348052372,0.2794581922674534,0.15442776836050662,0.0,0.0,0.018316573820196063,0.02539534764124614,0.0530438067963015,0.005782724165691547,0.03445882864995497,0.0,0.13389491142368154,0.0,0.02066086940554474,0.0,0.0,0.0,0.0,0.0,0.01022914418947854
3,0.2642512876804925,0.15502881920749995,0.13710946379702676,0.17096199853188052,0.0,0.11319544752286946,0.0023984198478227063,0.0,0.0,0.05208560634261966,0.0,0.0,0.0,0.0,0.042879269065482166,0.020824821551291152,0.0,0.031562140421688006,0.0,0.0
4,0.2612920699424536,0.18698900033007754,0.0,0.09183190248139424,0.0,0.048442532171460724,0.0,0.09856215823401922,0.049966328913798944,0.0062935186187261846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.3173741404821832,0.1299936184225954,0.1258317446382242,0.12896513692709768,0.13779285706178596,0.0,0.0,0.017807718346549612,0.0,0.05473414997446036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.28778658040086924,0.3051777995054193,0.09009846304544085,0.15178411759720684,0.09494354272446544,0.0,0.08235500953410665,0.05306736794544772,0.07961198298193305,0.06063322467569085,0.0,0.0,0.0,0.0,0.0,0.021002996110641138,0.0,0.041843653816307995,0.0,0.0
7,0.3779642972366931,0.2000678805074362,0.07222251852035157,0.0184529125199985,0.0,0.007976474565172928,0.06980563703051228,0.016900894733818738,0.07494733489500428,0.09232218813677714,0.050583757962021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.4274214852996636,0.1507676967316246,0.265081147636818,0.0,0.026419661500303032,0.16752231928175088,0.17758826341623585,0.009508004992208201,0.020530507721069607,0.0018364961350306895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.39383042740323776,0.3258889485360467,0.035037277906199794,0.0,0.2212198722794117,0.01679626418507319,0.0,0.010158081224497956,0.05171099467237644,0.005001900065193669,0.05320824173611621,0.0,0.01106882548965779,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.25961082236176886,0.1562307004316105,0.10501020964425387,0.01729080411624424,0.17314661482422591,0.0,0.20249316310996696,0.20023096727175735,0.0,0.02507124369075571,0.0,0.0,0.0,0.0,0.0,0.04099681331713578,0.0,0.0,0.0,0.0
11,0.2787088229247171,0.24053674585133744,0.3569149156348156,0.145229012209608,0.0,0.2555785721674656,0.0,0.04162747928249958,0.0,0.049876292678014585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.3475087111234508,0.2408166802550773,0.0,0.09187573117666971,0.0,0.10864902889004611,0.03556651765431057,0.2172306683331813,0.0,0.03992524511662507,0.0,0.0,0.0,0.0,0.0,0.09041098544447057,0.0,0.0,0.0,0.0
13,0.19686279750789532,0.28364563693931244,0.059862869511681724,0.0,0.11459469270383957,0.10187194251999952,0.10089140707300033,0.06508002113738691,0.0772101982410308,0.03897514629614752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.35288375676803485,0.16561715762563484,0.14098760156634416,0.06094244899583493,0.11644776503958791,0.0,0.0,0.0454008798745739,0.11449552110672284,0.03178608410056631,0.00437341419742641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.2688988853790825,0.2421670167003514,0.14424261035266334,0.003989074105064489,0.07269172511477301,0.1947874858030542,0.021018533860594428,0.04229981783362554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.3920620778933541,0.1702896259326641,0.009259173676676655,0.06551896837392687,0.11135226117549085,0.04706208892100345,0.18628054364321742,0.0,0.0,0.0,0.0,0.01355434394604936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.42250583959389665,0.11507517445221245,0.10089537488913465,0.26575295342641786,0.0,0.04435861842960969,0.021196827610220497,0.02105648057015814,0.0,0.07438317070581368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04448390959435237,0.0,0.0
18,0.2990697344066565,0.16842781642600346,0.06821803804943612,0.0,0.0,0.1223231947516192,0.1325946440107052,0.0014753924473431478,0.14013378538432497,0.0,0.008323125204324365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.31415652864811333,0.3544836995015675,0.22719377081813494,0.045769783973084684,0.25071179501859503,0.15557517470702084,0.030428527599636494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
