,difluencies_score,model_DEATH,score_parenthetique_matches,LSC,model_PHYSICAL_SENSATIONS,ON_generic,average_clustering,transitivity,first_personal_pronoun_plur,model_BODY,textblob_subjectivity,score_paticules_matches,average_shrotest_path_g0,third_personal_pronoun,verb_participe_passe,textblob_polarity,L2,verb_conditionel,ON_we,passive_count_norm
28,0.2192246055981326,0.1905292271729525,0.19825064875989687,0.10391086780177798,0.005676851494473044,0.08658462646929971,0.0,0.01594362321232036,0.0,0.06956965007017064,0.0065606795618388366,0.0,0.0,0.03934354095184765,0.036442298025002644,0.00702656083352927,0.0,0.0,0.10713762670954868,0.0
29,0.36062441949266194,0.2116165276012094,0.13427098696601006,0.07118267682948878,0.03137122009998754,0.0,0.0,0.021420077746272245,0.13470297808170476,0.0,0.0032373205555657008,0.008231845506950481,0.08057015983438134,0.0,0.0,0.01053893386862844,0.009959719097290314,0.0,0.0,0.0
30,0.22281136018151437,0.15488948209466502,0.09872858339035132,0.08622063656070683,0.00015315263109286667,0.075820853985788,0.07412696541011361,0.02799413094707345,0.046836792129168234,0.1391812101489126,0.044375414971623874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.4017735131783992,0.3074880857498801,0.17616255342685172,0.20063063705616335,0.0,0.0,0.0,0.06676729319662363,0.05200191093189231,0.06577911822469745,0.0,0.1317642115093199,0.0,0.0,0.0034942177723910435,0.004178233471937138,0.004184868726823789,0.0,0.05050124024647458,0.0
32,0.20526256343341712,0.412922905784817,0.18713922726854648,0.0,0.13862585719162138,0.0365403965102418,0.15613760403203542,0.0685337249275976,0.0,0.00897365155406891,0.08400837558414033,0.0,0.14178754483192332,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.24438296952758395,0.19473992591242612,0.2447774979563478,0.04474051268881932,0.0,0.06477391223964613,0.04102646657167517,0.005158171309827582,0.0,0.05308972398567199,0.0,0.06362360825517545,0.04582576293541877,0.0,0.0716458955648199,0.01000536014307543,0.01577479376021283,0.045120011803131965,0.0,0.0
34,0.204527874661575,0.26659213325053427,0.2532332351176537,0.0,0.016996693024386056,0.04749558374943959,0.11573053034914361,0.04924206173540626,0.0,0.03493368397072552,0.05610606249763163,0.04232996745994414,0.0,0.0,0.04010206452660236,0.006507509618170695,0.0,0.015510893302989255,0.0,0.04972870714618271
35,0.17295873721517702,0.1343699158931184,0.14762285922346577,0.2829540177036768,0.01873712334494308,0.07742100565624033,0.03910149026312719,0.058168408756278885,0.04844803248978579,0.07924709646462397,0.026784616391666374,0.09790474105590218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.27962660550239865,0.1226125247924746,0.21929024535447755,0.0689330696969957,0.1833876357129009,0.08113923906308336,0.0,0.10374565356481705,0.09424382088423085,0.03110464851474164,0.006023699587254601,0.0,0.0,0.1416812931252403,0.02324314332456714,0.0,0.014721811870075978,0.0,0.0,0.0
37,0.20487306880002365,0.41098615896397067,0.21193189607734494,0.06996942857066374,0.0,0.0660724106922328,0.10499313501557202,0.014027996868585534,0.0,0.0,0.043060053102358706,0.0,0.0,0.0,0.09536068726560812,0.009728041916285022,0.06271177550174269,0.0,0.06619003128958177,0.0
38,0.19014723523854635,0.22123727066288226,0.17596565247069598,0.05626006162510858,0.1653903978806534,0.07259471847150502,0.08685280313927558,0.03471579758548074,0.11848378043852063,0.008977247391520022,0.028191216937262956,0.06115071507748904,0.0,0.09707924033959238,0.0,0.008427398895553412,0.013030036719292924,0.0,0.0,0.0
