,textblob_subjectivity,average_clustering,difluencies_score,PE,transitivity,LSC,model_DEATH,score_parenthetique_matches,textblob_polarity,verb_participe_passe,score_paticules_matches,average_shrotest_path_g0,feel_positive,degree_average,passive_count_norm,liwc_émopos,direct_discourse_score,verb_indicatif_present,model_PHYSICAL_SENSATIONS,diameter_g0
35,1.9590403619028751,0.44443253286886153,0.6686549290279946,2.5583468468384156,0.7799459652293245,0.8320692857224256,0.4918654713148738,0.8016556784516299,0.5069037591324825,0.07885392074381382,0.6676244611508327,1.451802898539587,1.3032802398892243,0.0,0.5331086694490259,1.1344105788713663,0.3399232110010354,0.0,1.2769464260743948,0.10318692296835727
36,2.1428596310064405,0.03415623328562659,1.2843980884500186,1.145808957352709,1.4554548488737542,0.6840297807443204,0.7498918732595287,0.47280289963947636,2.35161116034312,0.3778238981926763,0.5142203046296175,2.5026026073249055,0.0,1.7415513432303458,1.5137463398977722,0.9159320487399786,0.014313434230545178,0.17444393692078827,0.7602897674797098,1.3210664759524955
37,1.3880114532365033,1.702972209746416,2.034453240338264,0.5134304331727815,0.7455785429498916,1.2667357898616851,0.029797658633748995,0.7344691329773654,0.6514562928382455,0.0,0.25633000246026116,0.0,0.6830274579326185,0.0,0.24769830356385328,0.41263368319085814,0.12341691700480549,0.0,0.7280063543914357,0.5222828052070232
38,1.80651780543446,1.6808399772511429,1.5180857826718208,1.077998510051084,1.011450868747204,0.9736950350238374,1.01014950595345,0.5749799611569982,0.5296278074695039,1.5955717064255588,0.22753985997738427,0.854733335656975,0.0,1.0798989516619595,0.633356165418847,0.0,0.572175407865826,1.7920527540829587,0.37285349701916126,0.20954889322676265
39,1.071675279918722,0.10273914488520614,1.478273437893649,1.9818666205374682,1.355802608639383,0.9745992074942841,0.8891151300611154,0.7130605506131092,0.46159550357994067,0.09809116613663149,0.677017430411517,3.168876233711236,0.0,0.9312643998373323,0.3397126588178193,0.0,0.44094371473313626,0.0,0.46077577412935017,1.3592530737324775
40,2.0579533842589712,2.3614265898791684,0.9512070499595898,1.5783095305357202,1.101806503992429,0.3435865899497336,1.0000460092048185,0.7044049606443306,1.0460284623375768,0.4678467021207258,0.2888798656647625,0.0,0.0,0.0,0.93931964712622,0.6158552687733664,0.6683562074091037,0.0,0.08442962840121891,0.03182843688701143
41,2.4664109229447297,0.36072458076854197,1.3742529065264186,1.9982051599828086,1.4050570257099328,1.5670576695728615,0.9741709118710691,0.6327622722545159,0.9800994289434402,0.4619224873347848,0.4737864465646311,0.8214759902908806,0.0,0.0,0.8763322243004421,0.0,0.3943884417895555,0.15034180821580742,0.5332200766392702,0.33171691814269394
42,1.8267538896795776,0.42252996047423774,1.1621149859632467,1.2587823780597147,1.0709686862216978,1.1185591167774542,0.7424675877955019,0.7680211838804828,0.6997871205681112,0.0,0.4825282863074611,0.6420298645753577,0.7130079175042537,0.0,0.3169214958138481,0.6158353130794888,0.5833235265304173,0.0,0.4884730065684229,0.4939439273351155
43,2.9555472758188746,0.9563170061672205,1.7083967231531219,1.554404281064933,1.2877092438224265,1.3713722606459342,0.6359598844381842,1.0103800670509842,0.529683830188355,0.0,1.2088531683147983,0.5226790267708747,1.08552520694444,0.5050976277611454,1.2562463970028284,0.3039293255976179,0.45106083999212726,0.31323611708683397,0.3663354531539232,0.7486172675621948
44,1.0807769059953543,3.0578268193998017,2.157111659332733,1.079330970463926,0.7824344667418089,0.7949724848355788,0.9322126794293248,0.4989355263973263,0.22771975870302294,0.7038263897727796,0.8403950299872737,0.0,0.29926479417789026,0.8740085524443119,0.10796058572289671,0.0,0.30835115972407134,0.2803526717525602,0.30989387260054435,0.33469378570003033
45,1.9348672998213525,1.644859115864695,1.8960162354597256,1.4154213930388628,1.213989866761534,0.6102046998600396,0.3917988450923637,0.9283487750364225,0.9720621827928492,0.8905833658921866,1.2056502330644228,0.012787726904390019,0.13479481898634155,0.0,0.03391063147059422,0.2989949764909108,0.3349131913753927,0.07287873984779641,0.292686119521948,0.08655774311749267
46,2.8008599528731835,1.9415277915293647,0.9058126804962771,0.6588195108044652,1.5626121991128836,0.8065925812589156,0.9545004802071254,0.846713645430267,0.9605878149700808,0.04196852862773015,0.5774763466447586,0.04049130295573058,0.0,0.0,0.7800323560936407,1.0303987692110146,1.0642915533664465,0.620222566822779,0.48872778415375256,0.0
47,1.4146289801957663,2.085563760184358,1.653978602180357,2.3417642034949346,1.053244045898652,0.70614805004441,0.4862905671965026,0.357245673005915,0.2800064425805876,0.8640633519114448,0.4972126939852959,0.24433079347391912,0.40060419702096506,0.002307869555944453,0.3282465037455859,0.0,0.5580963749797189,0.17395957043662832,0.3545982081645537,0.34150058142045836
48,1.4499460728389941,1.3681201158796439,1.4293690346474806,1.8581149451951406,0.8152521562000812,0.8271894365942314,1.3731836041631988,1.1715264196024995,0.6282279063431534,1.2713334928320463,0.33196205402106727,1.528517301057613,0.0,0.6736295874126763,0.5563545712059317,0.0,0.19926105979895387,0.41658986860197106,0.47990607943208397,0.926215965853929
49,1.1421782603661106,1.7281478396029846,1.6334646101060204,0.0,1.1024188996638575,0.8380734577497332,0.6623407535743259,0.5254516420503799,0.26449107725906756,0.5542421893739586,0.8205188842775857,0.5571763381023583,0.0,1.393043359303288,0.0,0.0,0.4198125381558356,0.0,0.05881167617038041,0.6462662433070588
50,0.8073072857802941,2.2494565173599086,1.6120443523182477,1.3215068660453466,1.26338280613588,0.8651292910856451,0.8831509443497992,0.37394847345149657,0.5530075653081119,0.8995185534657824,0.6924989842954611,0.0,0.10650536260041488,1.3032335667898336,0.32111416439488794,0.4274032166800347,0.6039605900474819,0.8373837349133096,0.33085624999225033,0.5026497666721526
51,1.648355662105755,0.9441945415172162,1.4567550297333438,1.3328074142423092,1.615398898914706,0.7746629946167275,0.9292313853953472,0.917561170802129,1.1221350387639089,0.5149796249849605,1.2180702146775668,0.4345861376220466,0.7488786623366096,0.0,0.1814025100668334,1.6227137056093313,1.183748169979601,0.48216262510138136,0.3869883336200631,0.32734505683074383
52,1.3902152397437395,1.0052882132736192,1.3269944875496038,1.0211893558050857,0.938843046670646,1.3846485554025538,0.8590147107239979,0.8147865033433902,0.0,1.052165263891425,0.6684338750013119,0.8559480841398789,0.9534557849151185,0.5079171595021328,0.13633149783234788,0.0,0.969703070500309,0.9070065389556327,0.4398670513425778,0.4051637952487474
