,model_PHYSICAL_SENSATIONS,model_BODY,verb_participe_passe,L1,model_DEATH,PQP_score,ON_we,first_personal_pronoun_plur,L2,difluencies_score,L3,LSC,second_personal_pronoun,ON_someone,average_clustering,diameter_g0,passive_count_norm,score_onomatopes_matches,PE,verb_indicatif_imparfait
0,0.16242904339433945,0.05968121181239548,0.14523864418308427,0.13641055312404232,0.0,0.11826167777422905,0.0029491185981829044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.015064604230527998,0.21785511299555688,0.10010729409774632,0.06970997725422745,0.0982047584159196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.19024157092381505,0.09585038999180796,0.1666605408522375,0.03956933999025119,0.05484378778184648,0.005431231503999005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.1620390944504131,0.05171395490731733,0.005754020311953156,0.02855389740937989,0.0,0.0,0.008693426203924708,0.0,0.00620727277374895,0.0,0.006043011883945666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.19251400508233002,0.17281297713250163,0.0,0.0,0.0,0.201097720457125,0.0,0.015398190921201692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.11509782305621118,0.0024758363227624703,0.21649869910933317,0.050768869815382825,0.09867178758668449,0.05096999776251832,0.0,0.0,0.0,0.014770513619797821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.11656978514911594,0.11969827027139725,0.05945991940004927,0.0,0.013534014408916011,0.0,0.0,0.0630966005476539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.3110655253047851,0.054905179273378193,0.15312196179305576,0.0,0.07842764537109001,0.0,0.0,0.0,0.0,0.0,0.0,0.030620722245621824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.1911688578650024,0.11011027125183616,0.13296971623593004,0.0,0.1521921374711104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032595618792629226,0.0,0.0,0.03128535541921745,0.0,0.0,0.0,0.0
9,0.11931823595120014,0.08471277950093933,0.19993469281636386,0.06368808717644066,0.0,0.0,0.002239055926519582,0.056980659236601595,0.07146056122917754,0.0,0.0,0.0,0.0,0.0,0.0,0.012312856839293788,0.0,0.0,0.0,0.0
10,0.09858658458219091,0.20863806203366858,0.07384890232098544,0.08585296426801237,0.0,0.0,0.024175330314968376,0.0,0.031474555099884755,0.028754797687709905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.1141550533840302,0.0546763213277946,0.07850268608006689,0.0,0.0,0.0991284256440248,0.0,0.0,0.05223111511033537,0.0,0.0,0.0,0.007172028177884712,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.1033093776575524,0.16777295344152085,0.0,0.0,0.0,0.0,0.1284324132686409,0.0,0.0,0.0,0.03295079038607214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.08414993103283984,0.0835675371124339,0.2501281089611988,0.019312271134481907,0.0,0.0,0.0,0.0,0.06109613524583595,0.061572427491082896,0.0,0.0,0.13048556505106806,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.3193041632260676,0.023384851146926334,0.19344865519103338,0.0,0.0,0.0002073671471611938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.18911286646822284,0.1232255223997239,0.09534220969222756,0.015021342750462031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.19194734460598384,0.11529698346571289,0.1339354386499437,0.1131439714351099,0.0,0.010496928788542949,0.0,0.07920529567804581,0.0017584037406887009,0.12919938402113743,0.03390411906498377,0.0,0.05664991588521968,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.13428837469443533,0.1406634525984805,0.07531072093700439,0.06790987868988882,0.05036017405741285,0.002838666872371335,0.0,0.0,0.0,0.08186448842431489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.05609496990748117,0.0797284782333882,0.0012044326027472576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.1623877878095022,0.2718927797667691,0.0,0.06893570121534853,0.0,0.0,0.0,0.0680472885698426,0.014804269098744889,0.0,0.0,0.09072834632564111,0.0,0.0,0.011732921799940534,0.0,0.0,0.0,0.0,0.0
20,0.17584475248680223,0.06522954621662355,0.21998226532882667,0.0,0.0,0.033481486616835726,0.00885424286864992,0.0,0.035926905908462446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05941294754233247,0.0,0.0
21,0.13077325011811072,0.2233141465895858,0.059897014147587725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.15131721439538462,0.11808054202137179,0.2784849136850301,0.1257302175098287,0.013698487823679483,0.02277604229206317,0.0,0.006050389402717833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
