,auc,precision,recall,accuracy,balanced_accuracy,f1_weighted,f1_macro,f1_micro,dataset
0,0.39351851851851855,0.4407239819004525,0.43333333333333335,0.43333333333333335,0.41666666666666663,0.4365714285714286,0.41714285714285715,0.43333333333333335,test
1,0.5601851851851852,0.52,0.5333333333333333,0.5333333333333333,0.5,0.5244019138755981,0.4976076555023923,0.5333333333333333,test
2,0.5601851851851851,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.513888888888889,0.5333333333333333,0.513888888888889,0.5333333333333333,test
3,0.37037037037037035,0.45341614906832295,0.5,0.5,0.4444444444444444,0.46469833119383824,0.42233632862644416,0.5,test
4,0.7268518518518519,0.6966507177033492,0.7,0.7,0.6805555555555556,0.6975323149236192,0.6827262044653348,0.7,test
5,0.5138888888888888,0.4803571428571428,0.4666666666666667,0.4666666666666667,0.45833333333333337,0.47149321266968325,0.45701357466063347,0.4666666666666667,test
6,0.5138888888888888,0.5067873303167421,0.5,0.5,0.48611111111111116,0.5028571428571429,0.48571428571428577,0.5,test
7,0.5925925925925926,0.5607142857142857,0.5333333333333333,0.5333333333333333,0.5416666666666667,0.5375,0.53125,0.5333333333333333,test
8,0.5787037037037037,0.45341614906832295,0.5,0.5,0.4444444444444444,0.46469833119383824,0.42233632862644416,0.5,test
9,0.5277777777777778,0.5502392344497608,0.5,0.5,0.5277777777777778,0.49610678531701896,0.4994438264738599,0.5,test
10,0.5324074074074073,0.5339366515837104,0.5,0.5,0.5138888888888888,0.5027808676307008,0.4994438264738599,0.5,test
11,0.4074074074074074,0.3962732919254658,0.36666666666666664,0.36666666666666664,0.41666666666666663,0.3268571428571428,0.34857142857142853,0.36666666666666664,test
12,0.6018518518518519,0.5464285714285714,0.5333333333333333,0.5333333333333333,0.5277777777777778,0.5375565610859728,0.5248868778280543,0.5333333333333333,test
13,0.6296296296296295,0.6,0.6,0.6,0.5833333333333333,0.6,0.5833333333333333,0.6,test
14,0.5787037037037037,0.5900000000000001,0.6,0.6,0.5694444444444444,0.5923444976076555,0.569377990430622,0.6,test
15,0.4212962962962963,0.5067873303167421,0.5,0.5,0.48611111111111116,0.5028571428571429,0.48571428571428577,0.5,test
16,0.5740740740740741,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.513888888888889,0.5333333333333333,0.513888888888889,0.5333333333333333,test
17,0.5416666666666667,0.5464285714285714,0.5333333333333333,0.5333333333333333,0.5277777777777778,0.5375565610859728,0.5248868778280543,0.5333333333333333,test
18,0.5138888888888888,0.6,0.6,0.6,0.5833333333333333,0.6,0.5833333333333333,0.6,test
19,0.7175925925925926,0.6258373205741627,0.5666666666666667,0.5666666666666667,0.5972222222222222,0.5632925472747498,0.5661846496106786,0.5666666666666667,test
20,0.5462962962962963,0.5492063492063491,0.5666666666666667,0.5666666666666667,0.5277777777777778,0.5523809523809524,0.5238095238095238,0.5666666666666667,test
21,0.37962962962962965,0.43333333333333335,0.4,0.4,0.41666666666666663,0.4,0.4,0.4000000000000001,test
22,0.6481481481481481,0.6287081339712919,0.6333333333333333,0.6333333333333333,0.6111111111111112,0.6303172737955347,0.6122209165687427,0.6333333333333333,test
23,0.49074074074074076,0.5464285714285714,0.5333333333333333,0.5333333333333333,0.5277777777777778,0.5375565610859728,0.5248868778280543,0.5333333333333333,test
24,0.49537037037037035,0.5067873303167421,0.5,0.5,0.48611111111111116,0.5028571428571429,0.48571428571428577,0.5,test
25,0.35185185185185186,0.49282296650717705,0.5,0.5,0.4722222222222222,0.49588719153936545,0.4712103407755582,0.5,test
26,0.4722222222222222,0.5067873303167421,0.5,0.5,0.48611111111111116,0.5028571428571429,0.48571428571428577,0.5,test
27,0.5185185185185185,0.5464285714285714,0.5333333333333333,0.5333333333333333,0.5277777777777778,0.5375565610859728,0.5248868778280543,0.5333333333333333,test
28,0.6388888888888888,0.6590909090909091,0.6666666666666666,0.6666666666666666,0.625,0.65,0.625,0.6666666666666666,test
29,0.6481481481481481,0.6599999999999999,0.6666666666666666,0.6666666666666666,0.6388888888888888,0.6602870813397127,0.6411483253588516,0.6666666666666666,test
30,0.6388888888888888,0.5777777777777777,0.5333333333333333,0.5333333333333333,0.5555555555555556,0.5333333333333333,0.5333333333333333,0.5333333333333333,test
31,0.5277777777777778,0.5464285714285714,0.5333333333333333,0.5333333333333333,0.5277777777777778,0.5375565610859728,0.5248868778280543,0.5333333333333333,test
32,0.5925925925925926,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.513888888888889,0.5333333333333333,0.513888888888889,0.5333333333333333,test
33,0.587962962962963,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.513888888888889,0.5333333333333333,0.513888888888889,0.5333333333333333,test
