,verb_participe_passe,model_BODY,verb_indicatif_present,model_DEATH,ON_we,liwc_émopos,labMT,LCC,NOM_PERCEPTIONS_SENSORIELLES,average_shrotest_path_g0,diameter_g0,degree_average,L2,difluencies_score,LSC,first_personal_pronoun_plur,ON_generic,PE,model_PHYSICAL_SENSATIONS,score_paticules_matches
15,0.06666666666666665,0.033333333333333326,-0.033333333333333326,0.06666666666666665,-0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033333333333333326,0.033333333333333326,0.0,-0.06666666666666665,0.0
16,0.0,-0.033333333333333326,0.1333333333333333,0.06666666666666665,0.033333333333333326,0.033333333333333326,0.0,0.0,0.0,0.0,-0.033333333333333326,-0.033333333333333326,0.033333333333333326,0.0,0.0,0.033333333333333326,0.0,-0.033333333333333326,0.0,0.09999999999999998
17,0.033333333333333326,0.033333333333333326,-0.1333333333333333,0.033333333333333326,0.033333333333333326,0.0,0.033333333333333326,0.0,0.0,0.033333333333333326,0.0,0.033333333333333326,0.0,0.0,0.033333333333333326,-0.033333333333333326,0.0,0.0,0.0,0.033333333333333326
18,0.06666666666666665,0.0,0.09999999999999998,-0.033333333333333326,0.033333333333333326,0.033333333333333326,0.06666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999998,0.0
19,-0.06666666666666665,0.1333333333333333,-0.06666666666666665,0.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06666666666666665,0.0,-0.06666666666666665,-0.033333333333333326,-0.033333333333333326,0.0,-0.033333333333333326
20,0.0,0.06666666666666665,0.033333333333333326,-0.06666666666666665,0.0,0.0,-0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09999999999999998,0.0,0.0,-0.033333333333333326
21,-0.033333333333333326,-0.1333333333333333,0.03333333333333338,-0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333338,0.0,0.0,-0.033333333333333326,0.0
22,0.09999999999999998,0.0,0.0,-0.033333333333333326,0.0,0.033333333333333326,0.033333333333333326,0.0,0.0,0.0,0.0,0.033333333333333326,-0.033333333333333326,0.0,0.0,0.033333333333333326,0.0,0.0,0.0,0.033333333333333326
23,0.033333333333333326,0.09999999999999998,0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033333333333333326,0.0,0.0,-0.033333333333333326,0.033333333333333326,-0.033333333333333326,0.0,-0.033333333333333326,0.0
24,-0.06666666666666665,0.033333333333333326,0.033333333333333326,0.06666666666666665,0.033333333333333326,0.0,0.0,0.0,0.0,-0.033333333333333326,0.0,0.0,0.0,-0.033333333333333326,0.033333333333333326,-0.033333333333333326,0.0,0.0,0.0,-0.033333333333333326
25,0.0,-0.1333333333333333,0.0,0.0,0.033333333333333326,0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666665,0.0
26,0.033333333333333326,0.033333333333333326,0.0,0.0,0.0,0.033333333333333326,0.0,0.0,0.0,0.033333333333333326,0.0,0.06666666666666665,0.0,-0.033333333333333326,0.0,0.0,0.033333333333333326,0.0,0.033333333333333326,0.033333333333333326
27,0.0,0.0,0.0,0.0,0.0,0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.06666666666666665,0.0,0.0,0.0,0.06666666666666665,0.06666666666666665,0.0,0.033333333333333326,-0.033333333333333326
28,0.09999999999999998,0.06666666666666665,0.06666666666666665,0.033333333333333326,0.06666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033333333333333326,0.0,0.0,0.1333333333333333,0.033333333333333326,0.0,0.033333333333333326
