,model_PHYSICAL_SENSATIONS,model_BODY,verb_participe_passe,score_paticules_matches,model_DEATH,L1,PQP_score,verb_conditionel,ON_we,first_personal_pronoun_plur,difluencies_score,score_generical_connector_matches,second_personal_pronoun,LSC,ON_someone,verb_indicatif_future,L2,average_clustering,textblob_polarity,L3
0,0.15222853549231005,0.04738891884754705,0.12050734873818823,0.026410596135885627,0.0,0.06104219473358405,0.09228906645442546,0.0,0.0022421858696457576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.012668562150211197,0.16686829242487722,0.08299336270483858,0.15951067107938618,0.05896679729824006,0.04507527613575416,0.0,0.039771265696379204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.11434991677197062,0.06920337212538795,0.13247940128493502,0.07381107401501272,0.039415344297744674,0.031367925490018274,0.004364683696087066,0.10790741386514541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.14020233621550277,0.049921570878023284,0.003622355668323806,0.005524734861390408,0.0,0.01532619180407824,0.0,0.0,0.00878249590703566,0.0,0.0,0.0,0.0,0.0,0.0,0.06449805609382632,0.0026260868978076534,0.0,0.0,0.0023754001322126707
4,0.18169720532659797,0.13916379913392948,0.0,0.0,0.0,0.0,0.12947720355834386,0.015799326718582724,0.0,0.010548150527447987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.08758603828885626,0.0019067053025557384,0.16888239056344642,0.030998164682273618,0.07130239514794967,0.03257056120497737,0.033115733542073554,0.0,0.0,0.0,0.010252964135159392,0.003096227462660837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.09711423474113665,0.1016021269290284,0.05017939291197605,0.0,0.008515690000260702,0.0,0.0,0.0,0.0,0.05310355874286142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.28040963486572196,0.046919096163308846,0.11413660431874223,0.0,0.059666555174390484,0.0,0.0,0.11678043773500041,0.0,0.0,0.0,0.0605926882052693,0.0,0.024393065435711465,0.0,0.0,0.0,0.0,0.0,0.0
8,0.13462948639855593,0.07986428951973913,0.1311464784824963,0.0,0.09365689664364459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02331816223391008,0.0,0.0,0.03291661235636739,0.0,0.0,0.0,0.0
9,0.09233696908002219,0.049341394215362364,0.16431605401926058,0.0,0.0,0.043740394821736264,0.0,0.0,0.0017569079608773968,0.04855671417479548,0.0,0.017096852397471225,0.0,0.0,0.0,0.0,0.03657984376366212,0.0,0.0,0.0
10,0.0690424762577595,0.13102959037418543,0.048804651953533465,0.0,0.0,0.04338667207023938,0.0,0.0,0.01983432991001725,0.0,0.02228759868985919,0.0,0.0,0.0,0.0,0.0,0.019411788141259118,0.0,0.0,0.0
11,0.08603539950366268,0.044762543760206726,0.06476042121804025,0.07479594237676515,0.0,0.0,0.05870507326513836,0.0,0.0,0.0,0.0,0.056859331832874796,0.004259043775549699,0.0,0.0,0.0,0.02572663914270092,0.0,0.022402208099468152,0.0
12,0.07711450470376496,0.12029050820063497,0.0,0.0,0.0,0.0,0.0,0.0,0.11158200667946039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029614919315592424,0.014138346092417672
13,0.07263273236853517,0.055986489386152395,0.22311059762018445,0.0,0.0,0.011412582206395488,0.0,0.0,0.0,0.0,0.05599906283108769,0.0,0.08892075855891994,0.0,0.0,0.0,0.0279753811772887,0.0,0.0,0.0
14,0.22718426699052555,0.016469247924204122,0.15104532682254027,0.0,0.0,0.0,0.00016196386463577682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.11936079336759624,0.09133507179327734,0.07550598848490192,0.0842519647681538,0.0,0.0062215234913864095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012007056755407652,0.0
16,0.14366390522798192,0.0908261803818151,0.12904311605737126,0.0,0.0,0.062093563891109635,0.00824452344766085,0.0,0.0,0.05894861430330002,0.1084102306518229,0.0,0.0553954949055812,0.0,0.0,0.0,0.001053269369539907,0.0,0.010441419187450483,0.018387222367244903
17,0.12334822487821723,0.11705698726259256,0.06584106932359345,0.0,0.041919434386580495,0.0314301156474365,0.002151214559258965,0.0,0.0,0.0,0.08522879793110152,0.0,0.0,0.0,0.0,0.044123225792794235,0.0,0.0,0.0,0.0
18,0.044563520948741955,0.07523437812497694,0.0009349770852810698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.12246652546324137,0.19921115591728103,0.0,0.08800865143183294,0.0,0.03676989101248194,0.0,0.0,0.0,0.06451215384314632,0.0,0.0,0.0,0.06486917891240235,0.0,0.0,0.00734403331982902,0.008780079635536413,0.002526005194637078,0.0
20,0.10309162060703107,0.04642348144331084,0.16895171462036457,0.013185800754143549,0.0,0.0,0.022370374887121423,0.0,0.006859161338435816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016702459369431488,0.0,0.0,0.0
21,0.12225822592171644,0.2368538856411319,0.052861735395972685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
