,auc,precision,recall,accuracy,balanced_accuracy,f1_weighted,f1_macro,f1_micro,dataset
0,0.7708333333333333,0.7520000000000001,0.7666666666666667,0.7666666666666667,0.6041666666666666,0.7584415584415586,0.6103896103896104,0.7666666666666667,test
1,0.5347222222222222,0.692063492063492,0.6333333333333333,0.6333333333333333,0.5208333333333334,0.6577777777777779,0.5111111111111112,0.6333333333333333,test
2,0.6111111111111112,0.7659090909090909,0.7333333333333333,0.7333333333333333,0.6458333333333333,0.746583850931677,0.6273291925465838,0.7333333333333333,test
3,0.6944444444444444,0.7659090909090909,0.7333333333333333,0.7333333333333333,0.6458333333333333,0.746583850931677,0.6273291925465838,0.7333333333333333,test
4,0.6736111111111112,0.7282296650717703,0.6333333333333333,0.6333333333333333,0.5833333333333333,0.66593707250342,0.5485636114911081,0.6333333333333333,test
5,0.5972222222222222,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.5833333333333334,0.7333333333333333,0.5833333333333334,0.7333333333333333,test
6,0.6319444444444445,0.7045454545454546,0.6666666666666666,0.6666666666666666,0.5416666666666666,0.6832298136645962,0.5341614906832298,0.6666666666666666,test
7,0.6180555555555556,0.7659090909090909,0.7333333333333333,0.7333333333333333,0.6458333333333333,0.746583850931677,0.6273291925465838,0.7333333333333333,test
8,0.5902777777777777,0.74,0.6666666666666666,0.6666666666666666,0.6041666666666667,0.6931818181818182,0.5738636363636364,0.6666666666666666,test
9,0.7777777777777778,0.7769230769230769,0.8,0.8,0.625,0.7839999999999999,0.6399999999999999,0.8000000000000002,test
10,0.7430555555555556,0.8,0.8,0.8,0.6875,0.8,0.6875,0.8000000000000002,test
11,0.6875,0.7282296650717703,0.6333333333333333,0.6333333333333333,0.5833333333333333,0.66593707250342,0.5485636114911081,0.6333333333333333,test
12,0.6388888888888888,0.7180124223602484,0.7,0.7,0.5625,0.7083469721767595,0.55810147299509,0.7,test
13,0.8680555555555556,0.8,0.8,0.8,0.6875,0.8,0.6875,0.8000000000000002,test
14,0.4375,0.6431818181818182,0.6,0.6,0.4375,0.6198757763975156,0.44099378881987583,0.6,test
15,0.625,0.7166666666666667,0.6,0.6,0.5625,0.638095238095238,0.5238095238095238,0.6,test
16,0.6666666666666667,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.5833333333333334,0.7333333333333333,0.5833333333333334,0.7333333333333333,test
17,0.7361111111111112,0.8126984126984128,0.7666666666666667,0.7666666666666667,0.7291666666666666,0.7822222222222222,0.6888888888888889,0.7666666666666667,test
18,0.6180555555555556,0.7166666666666667,0.6,0.6,0.5625,0.638095238095238,0.5238095238095238,0.6,test
19,0.7361111111111112,0.7885167464114832,0.7,0.7,0.6875,0.7266757865937072,0.6306429548563611,0.7,test
20,0.8194444444444444,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.7916666666666666,0.8666666666666667,0.7916666666666666,0.8666666666666667,test
