,model_DEATH,model_PHYSICAL_SENSATIONS,difluencies_score,model_BODY,average_shrotest_path_g0,first_personal_pronoun_sing,transitivity,score_parenthetique_matches,ON_generic,feel_positive,verb_conditionel,LSC,passive_count_norm,L2,verb_participe_passe,score_temporal_connector_matches,second_personal_pronoun,ON_someone,verb_indicatif_future,liwc_émopos
0,0.24450902540143366,0.15889248525186092,0.11125697532598007,0.20084633639212562,0.12005730482126944,0.16193503725395794,0.040655695002496654,0.0,0.061561885093590056,0.05793403308958252,0.0,0.0,0.02445047422855883,0.0,0.0,0.0,0.03495416299002395,0.07554170545348714,0.0,0.0
1,0.18690217765560074,0.08244116763244201,0.2913333770044743,0.19079788519283264,0.11997881488131083,0.05309036668722961,0.0,0.0,0.0,0.06809120920696982,0.0,0.050086067583048906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.35281456286201024,0.08416077074450172,0.11375104022735519,0.06769250553309843,0.0,0.08709308069181423,0.011655333754558869,0.0,0.08635223928625962,0.07506940080218592,0.0,0.0,0.01992939306154122,0.05464195526741135,0.0,0.0,0.01589690619860849,0.0,0.0,0.04304480978056536
3,0.16863049064717678,0.20375694940473585,0.15009109124728834,0.10867996326151176,0.08246871037130264,0.03506590949342199,0.04172140426941803,0.0988300122634773,0.01415457062523892,0.049008723794688104,0.03677621558088711,0.0,0.0,0.0,0.0,0.023574408829624978,0.0,0.0,0.0,0.0
4,0.28965431053847357,0.06691528622616778,0.16266304747469593,0.08100717094506409,0.0,0.0,0.12022974450482898,0.1432621497677504,0.0,0.10110229327339722,0.020166217075375782,0.0431993506621685,0.00028867862093008085,0.0007090576823858837,0.07889541166059937,0.017276250436619133,0.029092023840561563,0.03280539629863853,0.0,0.0
5,0.33532991649252114,0.12212715748705978,0.17468003403706425,0.0,0.11011861740440793,0.15526458924473077,0.09106469868445441,0.027202022033260793,0.13356867822041535,0.07744922132159424,0.06581140664452066,0.0,0.0,0.007329104683704619,0.0,0.0,0.0,0.0,0.0,0.0
6,0.40264880711043116,0.0217923858929062,0.1991704231597149,0.049829449464565204,0.12317662711274552,0.0,0.1524040031865183,0.035476649460006594,0.09226281692275534,0.01446495502632972,0.00016839322738897446,0.0,0.0,0.025498903699619303,0.0,0.0,0.0,0.03574471790515061,0.0,0.0
7,0.49322561347274674,0.14913128796692865,0.01577560286283253,0.11026897210242846,0.07785895211818807,0.008316257827460672,0.09298324218742121,0.19153104504658638,0.04461893764253066,0.05298558313381769,0.0,0.0,0.0,0.041872627080148925,0.0,0.02658579843420072,0.0,0.0,0.0,0.0
8,0.31171531486939397,0.21749608484929273,0.2075313439035502,0.0647008014419006,0.0,0.04582632927193838,0.0,0.0,0.12911847288621547,0.09976276293694672,0.0,0.09799542144969105,0.010425014470232054,0.041731949507297604,0.027012481652832807,0.0,0.0,0.0,0.0,0.0
9,0.24058055006729678,0.1789417964895447,0.09983055392579952,0.08151067551591978,0.022122779128530827,0.25633026502168504,0.2255918208250432,0.03965925880054997,0.0,0.0,0.0,0.0030040531494372543,0.0,0.0,0.0,0.04970141204809139,0.0,0.02069568503747609,0.0,0.0
10,0.42020634372617427,0.03269145743682691,0.22048583008635383,0.09400854729691203,0.03867193912182281,0.08022142251114775,0.100617076766693,0.0,0.10404775571798631,0.12218153642128994,0.030887789787114418,0.0,0.0,0.05179581529232325,0.019796792566904753,0.0,0.0,0.0,0.01971553220390148,0.0
11,0.3110103481324706,0.10869531276378187,0.1747491575386776,0.06396784561961329,0.09692844610046507,0.01586264853106684,0.09355490567179987,0.1361154873841465,0.09325894705526962,0.025855965674936247,0.07896136795111888,0.0,0.012464098854073501,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.23127163767704834,0.1980651862586953,0.1126531797868748,0.1447691728599524,0.13243063100619365,0.0,0.08353976638466304,0.049707325322457474,0.0,0.0,0.014099504033492149,0.0,0.0,0.04220856812588648,0.0,0.0,0.0,0.03160696969027112,0.0,0.0
13,0.2868456054945921,0.13091236795378994,0.2037973476166041,0.04814665102619532,0.1524138042897836,0.022939051212932427,0.09225484240506332,0.09645262498495594,0.0,0.06515481425967207,0.0,0.0,0.0,0.02778214659951787,0.0,0.025831950930256597,0.0,0.0,0.0,0.0
14,0.45323355825821676,0.11140884372049545,0.14256101501105284,0.00453763195320256,0.11475662469272299,0.14133631886838263,0.0,0.0,0.04618095164816417,0.03147089236864247,0.0,0.0,0.07655609811773885,0.030991480663468456,0.06590000262347859,0.0,0.0,0.0,0.014082334071496151,0.0
