,model_DEATH,difluencies_score,model_PHYSICAL_SENSATIONS,model_BODY,first_personal_pronoun_sing,L2,passive_count_norm,verb_participe_passe,ON_someone,PE,degree_average,diameter_g0,PQP_score,L1,ON_we,L3,first_personal_pronoun_plur,average_clustering,LCC,NOM_PERCEPTIONS_SENSORIELLES
0,0.3456886675750856,0.1476899227784138,0.2435312867243989,0.26606227057454446,0.18684217586088026,0.0,0.03384195854528089,0.0,0.10706616574811134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.32859901644073797,0.350185987875673,0.11526652427650366,0.2674678541786113,0.05883181738212569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.41472096843906864,0.15667019116876602,0.09505553755064246,0.07956393981030872,0.11514999675181728,0.12716432878134928,0.0326352398308094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.271301141140357,0.24643801227244486,0.26602101168994435,0.15053159198322402,0.052495133365236306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.38266174957483734,0.18385196952869354,0.09376870196537405,0.1225385004093431,0.0,0.0012089723625979157,0.0004214860328955024,0.08862927617680547,0.05175722013260684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.4373893911278075,0.26188418514684114,0.12681631297217774,0.0,0.2236440938752489,0.013234217812079714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08231082194578263,0.0,0.0,0.0,0.0,0.0,0.0
6,0.4839734691078345,0.24499590081521452,0.02263024950803892,0.08310873780262736,0.0,0.056814048149744466,0.0,0.0,0.04406746195589478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.5581154351447561,0.018841119158357664,0.18669848719197796,0.1861583894762446,0.012146356892845786,0.10653018152566869,0.0,0.0,0.0,0.05043405341911517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.4483424443613765,0.2544622169755086,0.27455884303690864,0.08195292330900532,0.06026178776040187,0.08847052468802792,0.014754867481327164,0.03419410718099158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.2863009603668396,0.1266071678475089,0.2011737630529943,0.10909645302308654,0.28222153592091453,0.0,0.0,0.0,0.024311149163308735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.42770570045153367,0.2937755427454275,0.05014341265370373,0.1395113001885569,0.12231803227426429,0.08923571654873286,0.0,0.022190246170626572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.4074387857569402,0.23515284893143376,0.10565899850978118,0.08377234261360023,0.0191345689135283,0.0,0.01706295303970439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004111526807279442,0.0,0.0,0.0,0.0
12,0.2807504902663688,0.1442269570907934,0.25143386524532413,0.16955017210802353,0.0,0.08187068042151908,0.0,0.0,0.037031251456979115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.3302128199514768,0.22871275082803103,0.14127380813098914,0.05281144642717793,0.023573400724956405,0.054014193757695894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.5644499644042127,0.1654689370140009,0.1422221844772861,0.005354650854953872,0.21121718418300628,0.06302065899358797,0.11283450899500336,0.07859531284454686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.297797815365738,0.2018438344177065,0.09120596327453741,0.0982410123826545,0.13598484101132494,0.12348136384762784,0.0,0.12586803412896036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.3576430386102568,0.23293222471036004,0.1683047382823107,0.0,0.18134579487045077,0.06727836330015657,0.01588233323937323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.24280904976961615,0.17310162735668708,0.29354579513044315,0.15032798725001506,0.05004083870933717,0.02078195039952356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.3078924337957549,0.18786053636977257,0.20471036859252031,0.1000912899677561,0.005240309502967771,0.03693751263626357,0.0,0.0,0.05012968926875113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.49985624335562884,0.0775201141165906,0.15944932316054325,0.02667680846560871,0.07263965524765574,0.04848383677813707,0.23852586822182012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.3970040361761668,0.18634029505606947,0.207597981274396,0.1688308061227938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.5188124940693785,0.1108456314700374,0.18130606481182174,0.0,0.10814612725269587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.3384329726674243,0.22940528604789012,0.06942458273700525,0.14410481854586407,0.25194861843149874,0.02310986850149445,0.09075871250659315,0.07371893704700841,0.006768317009608334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
