,auc,precision,recall,accuracy,balanced_accuracy,f1_weighted,f1_macro,f1_micro,dataset
0,0.5555555555555556,0.7180124223602484,0.7,0.7,0.5625,0.7083469721767595,0.55810147299509,0.7,test
1,0.7083333333333334,0.7180124223602484,0.7,0.7,0.5625,0.7083469721767595,0.55810147299509,0.7,test
2,0.4375,0.6546583850931678,0.6333333333333333,0.6333333333333333,0.4583333333333333,0.6435351882160394,0.4599018003273323,0.6333333333333333,test
3,0.7291666666666666,0.7523809523809523,0.7,0.7,0.625,0.7200000000000001,0.6,0.7,test
4,0.763888888888889,0.74,0.6666666666666666,0.6666666666666666,0.6041666666666667,0.6931818181818182,0.5738636363636364,0.6666666666666666,test
5,0.5208333333333333,0.6076555023923444,0.5,0.5,0.375,0.5444596443228454,0.38440492476060195,0.5,test
6,0.8402777777777778,0.8388888888888888,0.7333333333333333,0.7333333333333333,0.7708333333333334,0.7587301587301588,0.6825396825396826,0.7333333333333333,test
7,0.4097222222222222,0.68,0.6,0.6,0.5,0.6318181818181817,0.4886363636363636,0.6,test
8,0.4652777777777778,0.62,0.5333333333333333,0.5333333333333333,0.3958333333333333,0.5704545454545454,0.4034090909090909,0.5333333333333333,test
9,0.5972222222222222,0.6425339366515836,0.5,0.5,0.4375,0.5494223363286265,0.42233632862644416,0.5,test
10,0.6527777777777779,0.6555555555555556,0.5333333333333333,0.5333333333333333,0.45833333333333337,0.5777777777777777,0.4444444444444444,0.5333333333333333,test
11,0.6319444444444444,0.7523809523809523,0.7,0.7,0.625,0.7200000000000001,0.6,0.7,test
12,0.7361111111111112,0.7659090909090909,0.7333333333333333,0.7333333333333333,0.6458333333333333,0.746583850931677,0.6273291925465838,0.7333333333333333,test
13,0.625,0.6679425837320573,0.5666666666666667,0.5666666666666667,0.47916666666666663,0.6051983584131327,0.46648426812585503,0.5666666666666667,test
14,0.5069444444444444,0.692063492063492,0.6333333333333333,0.6333333333333333,0.5208333333333334,0.6577777777777779,0.5111111111111112,0.6333333333333333,test
